	Все склянки-пузырьки с парфюмерией, беспорядочной россыпью загромождавшие узенький туалетный столик, все ее пудры-помады-тени, зубные щетки, фен, все эти ее лекарства неизвестного назначения, тампоны-салфетки и прочая гигиеническая дребедень, вся ее обувь - от тяжелых зимних ботинок до сандалет и домашних тапочек, коробки со шляпами; занимавшие целый ящик сумочки и ридикюли, портфели и портмоне, все с такой тщательностью рассортированное нижнее белье и чулки, ее письма - все, от чего мог исходить хоть слабый ее запах, растворилось бесследно.
그녀 가 직접 샀거나, 내가 그녀에게 사준 책이나 레코드였다.	Мне почудилось даже, будто все свои отпечатки пальцев она забрала с собой.
앨범을 펴보니 그녀가 찍혀 있는 사진은 한 장도 남아 있지 않았다. 그녀와 내가 함께 찍은 사진은 그녀가 있던 자리가 정확히 오려져 있어, 나만이 남아 있었다.	Книжный ящик и полка с пластинками опустели на треть: кое-что покупала она сама, кое-что дарил я.
나 혼자 찍은 사진과 풍경이나 동물을 찍은 사진은 그대로 남아 있었 다.	Из альбомов были вырваны все ее фотографии.
세 권의 앨범에 꽂혀 있는 사진은 완벽하게 수정된 과거였다. 나는 늘 혼 자였고, 그 사이사이에 산과 강, 사슴, 그리고 고양이 사진이 있었다.	Везде, где нас снимали вдвоем, ее часть снимка оказывалась аккуратно отрезанной, 'мои' же половинки остались на прежних местах.
마치 태어 났을 때도 혼자였고 계속 외톨이였으며, 앞으로도 외톨이일 것만 같은 기분이 들었다.	Совершенно нетронутыми я нашел лишь те снимки, где я один, а также пейзажи и портреты животных.
	Три альбома с постранично отредактированным человеческим прошлым: я был оставлен в нем один, как перст, на фоне гор, рек, оленей и кошек.
	Как если бы я с самого рождения был один, прожил в одиночку всю жизнь до сих пор - и теперь приговорен к одиночеству до скончания века...
나는 앨범을 덮고, 담배를 두 개비 피웠다.	Я захлопнул альбом и выкурил две сигареты подряд.
슬립 하나쯤 남겨 두고 갔으면 좋았을 텐데 하는 생각이 들기는 했지만, 그것 은 물론 그녀의 문제고 내가 이러쿵저러쿵할 일은 아니었다.	С одной стороны, думал я, - могла бы и оставить после себя хоть ночную сорочку.
그녀는 아무것도 남기지 않겠다고 결심한 것이다. 나는 거기에 따를 수밖에 없다.	С другой стороны - все это, конечно же, ее личное дело, и не мне предъявлять претензии.
아니면 그녀 가 의도했던 것처럼 애당초 그녀는 존재하지 않았다고 억지로라도 생각하는 수 밖에 없다.	Решение не оставлять ничего она приняла сама.
그리고 그녀가 존재하지 않는 곳에 그녀의 슬립도 존재하지 않는 것이다.	Мне оставалось лишь принять это к сведению.
나는 재떨이를 물에 담그고 에어컨디셔너와 라디오의 스위치를 끈 다음, 다시 한 번 그녀의 슬립에 대해 생각하고 나서 단념하고 잠자리에 들었다.	Иначе говоря, ее замысел удался: все, что мне действительно оставалось теперь, - это убедить себя, что ее просто не существовало с самого начала.
내가 이혼에 동의하고 그녀가 아파트를 나가 버린 지 벌써 한 달이 지났다.	Ну, а раз ее не было - откуда взяться сорочке?...
	Я залил водой пепельницы, выключил транзистор и кондиционер, отогнал заскочившую еще раз в голову мысль о ночной сорочке и поплелся спать.
	Уже месяц прошел с тех пор, как я получил развод и она съехала, переселившись в другую квартиру.
그 한 달에는 거의 아무런 의미도 없었다.	Месяц безо всякого смысла.
흐릿하여 실체가 없는, 미지근한 젤 리와도 같은 한 달이었다.	Месяц тягуче-безвкусный, как растаявшее желе.
뭔가가 변했다고는 도저히 생각할 수 없었고, 실제로 도 무엇하나 변하지 않았던 것이다.	Никаких перемен не ощутил я за это время - да, собственно, ничего и не изменилось.
	Я просыпался в семь, варил кофе, поджаривал в тостере хлеб, уходил на работу, ужинал в городе, пропускал пару-тройку бутылок сакэ, возвращался домой, час читал что-нибудь в постели, затем гасил свет и засыпал до следующего утра.
나는 아침 일곱 시에 일어나서 커피를 끓이고, 토스트를 굽고, 일하러 나가고, 밖에서 저녁을 먹고, 술을 두세 잔쯤 마시며, 집에 돌아와서 한 시간 가량 침대 에 누워 책을 읽다가 불을 끄고 잤다.	По субботам и воскресеньям вместо работы я уходил с утра шататься по ближайшим кинотеатрам и добивал бестолковое время до вечера, как только мог.
토요일과 일요일에는 일을 하는 대신 아 침부터 몇 군데의 극장을 돌아다니며 시간을 때웠다.	А вечерами - как всегда: одинокий ужин, сакэ, час с книгой в постели и сон.
그리고 여느 때와 다름없 이 혼자서 저녁을 먹고, 술을 마시고, 책을 읽다가 잤다. 마치 어떤 부류의 사 람들이 매일 달력의 숫자를 새까만 칠을 해나가듯, 그런 식으로 한 달을 지내 왔다.	Монотонно-безлико - так некоторые люди заштриховывают черной пастой день за днем в настенном календаре - прожил я этот месяц.
그녀가 사라져 버린 것은, 어떤 의미에서는 어쩔 수 없는 일인 것 같은 기분 이 들었다.	Она исчезала из моей жизни - и, я чувствовал, с этим уже ничего не поделаешь.
이미 일어나 버린 일은 일어나 버린 일이다.	Что случилось, то и случилось.
우리가 지난 4년 동안 아무리 잘 지내 왔다 하더라도, 그것은 이제는 그리 대단한 문제가 아니었다.	Хорошо ли, плохо ли прожиты были эти наши четыре года вдвоем, уже совершенно не важно.
그녀의 사진만 사라진 앨범과 똑같았다.	Все выпотрошено - как в фотоальбомах.
그와 마찬가지로 그녀가 오랫동안 정기적으로 내 친구와 잠자리를 같이하다가 어느 날 갑자기 그에게 가버렸다 하더라도, 그것 역시 대단한 문제는 아니었다.	Совершенно не важно и то, что она уже давно и регулярно спала с моим другом, и в один прекрасный день я даже застал их вдвоем, нагрянув к нему случайно.
그런 일은 충분히 일어날 수 있는 일이며, 그리고 현실에서도 종종 일어나는 일 이라 그녀가 그렇게 되었다고 해도 무슨 특별한 일이 벌어졌다는 식으로는 도저 히 생각되지 않았다.	От таких вещей не застрахован никто, они часто случаются в жизни, и если уж ей довелось во все это вляпаться, то я ни в коей мере не считал это чем-то особенным.
결국 그것은 그녀 자신의 문제인 것이다. '결국 그건 당신 자신의 문제야' 라고 나는 말했었다.	В конечном итоге, это только ее проблема...
6월의 어느 일요일 오후, 그녀가 이혼하자는 말을 꺼냈을 때 나는 캔 맥주의 고리를 손가락에 끼고 장난하고 있었다.	- В конечном итоге, это только твоя проблема, - сказал я.
	В тот воскресный июньский полдень, когда она заявила, что хотела бы развестись, я стоял перед ней, крутя на пальце жестяное колечко от пивной банки.
그녀는 아주 여유 있는 말투로 '아무래도 좋다는 뜻이에요?'	- То есть, тебе все равно? - как-то очень отчетливо спросила она.
라고 물었다. '어떻게 되든 좋다는 건 아내야' 라고 나는 대답했다.	- Нет, мне не все равно, - ответил я.
한참 후에 그녀는 '사실은 당산과 헤어지고 싶지 않아요' 라고 말했다.	- Я всего лишь сказал, что это - твоя проблема.
	- Если честно, мне не хочется с тобой расставаться, - произнесла она, выдержав паузу.
그럼 헤어지지 않으면 되잖아' 라고 나는 말했다.	- Ну и не расставайся.
하지만 당신과 함께 있어도 이제는 아무데도 갈 수 없어요.'	- Но если с тобой - то ведь ни черта не получится!
	Она не прибавила к сказанному ни слова, но мне кажется, я понял, что она имела в виду.
그녀는 그 이상 아무 말도 하지 않았지만, 그녀가 무슨 말을 하고 싶어하는지 는 알 수 있을 것 같았다.	Через несколько месяцев мне стукнет тридцать.
나는 이제 몇 달 후면 서른이 되고 그녀는 스물 여 섯이 된다.	Ей, тоже вскорости - двадцать шесть.
그리고 앞으로 닥쳐올 일의 크기에 비하면, 이제까지 우리가 쌓아 온 일 따위는 정말로 하찮은 일에 지나지 않았다.	Впереди нас ждала куча проблем, а нажили мы до сих пор буквально какие-то крохи.
또는 제로였다.	Фактически - ноль.
우리는 마치 무위도식하며 저축해 놓은 돈을 탕진하듯이 지난 4년 동안 살아온 것이다.	Сбережения были подчистую проедены за четыре года вдвоем.
전 적으로 내 책임이었다. 나는 누구와도 결혼하지 말았어야 했다. 적어도 그녀는 나와 결혼하지 말았어야 했다.	Почти полностью виноват в этом был я. Мне, наверное, вообще не следовало жениться.
처음에 그녀는 자신이 사회적 부적합자고 내가 사회적 적합자라고 생각했었 다.	По крайней мере, ей-то уж точно не следовало выходить за меня.
	Еще в самом начале ей взбрело в голову считать себя натурой 'общительной', меня же - типом замкнутым и нелюдимым.
그리고 우리는 각자의 역할을 비교적 잘해 나가고 있었다.	Так, сравнительно удачно, мы и стали играть эти роли.
두 사람 모두 그대로 계속 잘 지낼 수 있을 거라고 생각했을 때, 뭔가가 무너졌다.	Но за то время, пока мы и вправду верили, что сможем так очень долго, - вдруг что-то сломалось.
아주 사소 한 것이었지만, 원래의 상태로 되돌아갈 수 없었다.	Что-то очень неуловимое, но чего уже не исправить.
우리는 평온하고 기나긴 막 다른 골몰에 있었다.	Мы зашли в очень мирный, спокойный тупик и просто тянули время.
그것이 우리의 마지막이었다.	Это был наш конец.
그녀에게 있어서, 나는 이미 상실된 사람이었다.	Я действительно стал для нее уже конченым человеком.
설사 그녀가 아직도 조금은 나를 사랑하고 있다 하더라도, 그건 별개의 문제였다. 우리는 서로의 역할에 너 무나 익숙해져 있었던 것이다.	Пусть даже у нее осталось сколько-то любви ко мне - дело было уже не в этом. Мы слишком привыкли играть наши роли друг перед другом.
내가 그녀에게 줄 수 있는 것은 이제 아무것도 없었다.	Я уже ничего не мог ей дать.
	Она чувствовала это инстинктом, я понимал из опыта, но ни в том, ни в другом спасения больше не было.
	И вот теперь вместе со всеми своими сорочками она исчезла из моей жизни навеки.
어쨌든 구원할 길은 없었다. 그런 이유에서 그녀는 그녀의 슬립 몇 장과 함께 내 앞에서 영원히 모습을 감 추었다.	Что-то забудет память. Что-то скроется с глаз. Что-то умрет.
어떤 사람은 잊혀지고, 어떤 사람은 모습을 감추며, 어떤 사람은 죽는 다.	В этом не должно быть особой трагедии.
그리고 거기에는 비극적인 요소는 거의 없다.	24 июля, 8:25 утра...
7월 24일, 오전 8시 25분 나는 디지털 시계의 네 개의 숫자를 확인하고 나서 잠들었다.	Бросив взгляд на цифры электронных часов, я провалился в сон.
