제5장 	Часть пятая 
사고 방식으로서는 조금도 감상적이지 않은데, 글로 쓰고 보면 감상적이 되네. 난처한 일이야.	Так вот: сексуальность - привлекательность той же природы.
대체 무슨 이야기를 하고 있었지? 여자에 대해서였던가.	Я откопал ее в себе; но зачем она мне и что с нею делать дальше?
여자들에겐 예쁜 서랍이 달려 있고 그 속에는 특별한 의미가 없는 잡동사니가 가득 들어 있지.	Дальше можно только перестать быть самим собой...
나는 그런 것이 아주 좋아. 나는 그런 잡동사니 하나하나를 꺼내어 먼지를 털고, 그 나름대로의 의미를 찾아내 줄 수가 있다네.	Вот почему я теперь думаю исключительно о сексе в его, так сказать, 'рафинированном виде'.
	Когда концентрируешься на сексе в его чистом виде, то и не ломаешь себе голову - патетичен ты или нет.
섹스 어필 의 본질이란 요컨대 그런 것이 아닌가 하네. 하지만 그래서 어떻게 되느냐 하 면, 아무것도 되는 일은 없지.	Все равно, что потягивать пиво, созерцая черноморский закат...
그 다음은 내가 나이기를 포기하는 수밖에 없어.	Перечитал написанное.
	Пусть даже какие-то части и противоречат друг другу - по-моему, вышло достаточно искренне.
그래서 나는 지금 섹스에 대해서만 생각하고 있네.	Удачнее всего - те отрывки, где скучно.
흥미를 섹스라는 한 점으 로 압축하면, 감상적인지 아닌지에 대해서는 생각할 필요도 없지.	И еще. Как ни крути - получилось, что письмо и написано-то не тебе.
흑해 주변에서 맥주를 마시는 것과 마찬가지야.	Скорее всего, писалось почтовому ящику...
여기까지 다시 읽어 보았네.	Но ты меня за это не ругай.
약간 이치에 맞지 않는 데도 있지만 나로서는 정직하게 쓴 것 같네. 무엇보다도 지루한 것이 좋군.	Даже до почтового ящика отсюда - полтора часа на джипе.
게다가 이건 아무리 생각해도 자네에게 쓰는 편지조차 아닌 것 같네.	Ну, а теперь, наконец - письмо к тебе.
이건 아마 우체통에게 보내는 편지일 거야.	Есть у меня к тебе две просьбы.
	Ни та, ни другая особой срочности не требуют; сделай, когда будет подходящее настроение.
그러나 그렇다고 해서 나를 비난하지 말 아 주게.	Очень меня обяжешь...
여기에서는 우체통이 있는 곳까지 가려면 지프로 한 시간 반이나 걸 린다네.	Еще месяца три назад я, пожалуй, не смог бы попросить тебя ни о каком одолжении.
여기서부터는 진짜 자네에게 쓰는 편지야.	А теперь вот - могу.
자네에게 두 가지 부탁이 있네.	И это - уже прогресс.
둘 다 서둘러야 하는 일은 아니니까, 자네 마 음이 내킬 때 처리해 주면 돼.	Первая просьба несколько сентиментальна.
자네가 그렇게 해주면 내게는 큰 도움이 되겠지.	То есть, дело касается Прошлого.
	Пять лет назад я уезжал из города в такой страшной запарке, что забыл попрощаться с несколькими людьми.
아마 석 달 전이라면, 자네에게 무엇 하나 부탁할 수가 없었을 걸세.	Конкретно - с тобой, с Джеем, и с одной женщиной, которую ты не знаешь.
	Но если с тобой, сдается мне, я еще попрощаюсь, как полагается - то с ними, боюсь, такого случая уже не представится.
그러나 지 금은 자네에게 무엇이든 부탁할 수가 있네. 그것만으로도 하나의 진보지.	Вот я и хочу попросить тебя: будешь в городе - попрощайся за меня.
첫 번째 부탁은 감상적인 것이라네. 즉 '과거'에 관한 부탁이야.	Я понимаю, что это звучит дерзковато.
나는 5년 전 에 그 거리를 떠날 때, 너무나 혼란스러웠고 다급했던 탓에 몇몇 사람에게 작별 인사를 하지 못했다네.	На самом деле я, конечно, должен сам сесть и написать всем этим людям письма.
구체적으로 말하면, 자네와 J, 그리고 자네가 모르는 한 여자야.	Но если честно - я просто хочу, чтобы ты вернулся в город и встретился с ними.
자네에게는 다시 한 번 만나서 제대로 작별 인사를 할 수 있을 것 같 은 생각이 들지만, 나머지 두 사람에게는 다시는 작별 인사를 할 기회가 없을 것 같아.	Мне кажется, такая встреча передала им мои чувства яснее, чем любое письмо.
그러니까 만약 자네가 그 거리로 돌아갈 일이 있다면, 내가 보내는 작 별 인사를 그들에게 전해 주었으면 하네.	Адрес и номер телефона моей знакомой прилагаю.
물론 이것이 아주 염치없는 부탁이라는 것은 잘 알고 있네. 내가 직접 편지 를 써야 한다는 것도 알아.	Если вдруг окажется, что она переехала, либо же замуж вышла - тогда ладно.
하지만 정직하게 말하면, 나는 자네가 돌아가서 그 두사람을 직접 마나 주었으면 하네.	Не встречайся, езжай домой.
그 편이 내가 직접 편지를 쓰는 것보다 내 마음을 더 잘 전할 수 있을 것 같은 기분이 들거든.	Но если живет по тому же адресу - уж повидайся с нею, будь добр, и передай от меня привет.
그녀의 주소와 전화 번호는 따로 적어 두었네.	Ну, и Джею - привет огромный.
만약 이사를 했거나 결혼을 했다면 그것으로 됐네.	Распейте там на двоих мое пиво.
만나지 말고 그냥 들어와 주게.	Это первое.
그러나 지금도 같은 주 소에 살고 있다면, 그녀를 만나서 내 인사를 대신 전해 주게.	Вторая просьба будет немного странной.
그리고 J에게도 잘 전해 주게.	Прилагаю к письму фотографию.
내 몫의 맥주까지 마시게나.	Фотографию овец.
또 한 가지는 약간 색다른 부탁이야. 한 장의 사진을 동봉하네.	Помести ее где угодно - лишь бы на нее почаще смотрели люди.
	Прекрасно осознаю все нахальство своей просьбы - но, поверь, кроме тебя мне больше совершенно некого попросить.
양의 사진이지. 이것을 어디라도 좋으니까 사람들 눈에 띄는 곳에 내놓아 주기 바라네.	Готов уступить тебе всю свою сексуальность - только сделай это, пожалуйста.
이것도 너무 제멋대로인 부탁이라고 생각 하지만, 자네말고는 부탁할 사람이 없어.	Зачем - рассказать не могу.
내 섹스 어필을 몽땅 자네에게 넘겨도 좋으니, 이 부탁만은 들어주었으면 하네.	Но фотография очень важна для меня.
이유는 말할 수 없지만, 이 사진은 내 게는 중요한 것이거든.	Когда-нибудь - очень нескоро - может быть, расскажу.
언젠가 훗날에 설명할 때가 올 거야.	Прилагаю также и чек.
수표를 동봉하네. 필요할 때 쓰게.	На все необходимые расходы.
돈에 대해서는 걱정하지 않아도 되네. 여기에 있으면 돈 쓸 데가 없어 고민일 지경이고, 뿐만 아니라 지금으로서는 내 가 할 수 있는 일이란 그 정도밖에 없으니까.	О деньгах можешь не беспокоиться. Здесь мне приходится ломать голову, на что их потратить; и к тому же это - единственное, чем я могу тебе посодействовать.
부디 내 몫의 맥주 마시는 일을 잊지 말게나. 반송 사유를 적은 쪽지를 떼어 보니, 소인은 읽을 수 없었다.	Да, лишний раз: пиво-то за меня распить не забудьте...
	Квитанция о переадресовке оказалась наклеена прямо на штемпель; чтобы вскрыть конверт, мне пришлось отодрать ее - и дату отправки разобрать было уже невозможно.
	Кроме письма, в конверте я обнаружил банковский чек на сто тысяч иен, листок бумаги с женским именем, адресом и номером телефона, а также черно-белую фотографию с овцами.
봉투 속에는 10 만 엔짜리 은행 수표와 여자의 이름과 주소를 적은 쪽지, 양이 찍힌 흑백 사진 이 들어 있었다.	Письмо я обнаружил в почтовом ящике, когда выходил из дому, и прочел за столом в конторе.
나는 집을 나올 때 그 편지를 우편함에서 꺼내 들고 회사에 와 책상에 앉아 그것을 읽었다.	Бумага, как и в прошлый раз, оказалась бледно-зеленой - но на чеке значились реквизиты Банка Саппоро.
지난번과 똑같은 연두색 편지지였고, 수표는 삿포로에 있는 은 행에서 발행한 것이었다.	Получалось, что Крыса уже вроде как на Хоккайдо...
그렇다면 쥐는 홋카이도로 건너간 모양이다. 눈사태에 관한 내용은 왠지 얼른 와 닿지 않았지만, 쥐 자신이 썼듯이 전체적 으로는 매우 솔직하게 쓴 편지였다.	Я также плохо понял, что он имел в виду насчет горных лавин; но в целом, как и писал сам Крыса, письмо было необычайно серьезным и искренним.
게다가 농담으로라도 10만 엔짜리 수표를 보내는 사람은 아무도 없었다.	Да и - что говорить! - никто не станет шутки ради посылать вам чек на сто тысяч...
나는 책상 서랍을 열고, 거기에 편지를 봉투째 넣어 두었다.	Я выдвинул ящик стола и побросал туда все, что нашел в конверте.
그때는 아내와의 관계가 허물어져 가고 있던 탓도 있어 내게는 그다지 신통치 않은 봄이었다.	Эта весна - отчасти из-за того, что наши отношения с женой трещали уже по всем швам, - выходила у меня безрадостно-серой.
그녀는 벌써 나흘이나 집에 돌아오지 않고 있었다.	Вот уже четвертые сутки она не возвращалась домой.
	Молоко в холодильнике прокисло и источало тошнотворную вонь; кошка шаталась по комнате с голодным брюхом.
	Зубная щетка жены в ванной комнате ссохлась и затвердела, как доисторическая окаменелость.
냉장고 속 에서는 우유가 고약한 냄새를 뿜어 내고, 고양이는 항상 배고파 하고, 세면대에 놓여 있는 그녀의 칫솔은 화석처럼 말라 비틀어져 있었다.	И вот теперь по этому дому медленно растекался тускло-призрачный свет Весны.
그런 집 안에 아련 한 봄햇살이 내리쬐고 있었다.	Солнечный свет.
햇빛만은 언제나 무료다.	Как всегда, задаром.
길고 긴 막다른 골목	Затянувшийся тупик'?...
-아마 그녀가 말한 대로일 것이다.	Что ж, - пожалуй, она права.
