헤드 웨이터가 물러가자 번갈아서 웨이터 둘이 오더니 테이블에 세 개의 큰 접시와 두 개의 덜어 먹는 작은 접시를 놓았다.	Затем официанты исчезли, и мы снова остались вдвоем.
웨이터가 가고 나자 우리는 다 시 단둘이 되었다.	- Очень хотелось увидать твои уши.
꼭 당신의 귀를 보고 싶었어요' 하고 나는 솔직하게 말했다.	Чего бы это ни стоило, - сказал я откровенно.
그녀는 아무 말도 하지 않고 파이와 아귀 간을 접시에 덜고, 포도주를 한 모 금 마셨다.	Не отвечая ни слова, она положила себе паштета с печенью и пригубила вино.
실례가 됐나요?' 그녀의 살짝 미소 지었다.	- Что, зря побеспокоил?
	Она еле заметно улыбнулась: - Хорошую французскую кухню очень трудно назвать беспокойством...
맛있는 프랑스 요리는 실례가 되지 않아요.'	- А разговор об ушах - беспокойство?
귀에 대한 이야기는 실례인가요?'	- Тоже нет.
그렇지도 않아요, 이야기하는 각도에 따라서는요.'	Все ведь зависит от угла зрения, верно?
당신이 좋아하는 각도에서 이야기하죠.'	- Так давай говорить под твоим любимым углом.
그녀는 포크를 입으로 가져가면서 고개를 저었다. '솔직하게 말해 줘요.	Она поднесла ко рту вилку и слегка изогнулась, потянувшись навстречу руке.
그게 가장 좋아하는 각도니까요.'	- Говори, что думаешь.
우리는 한동안 말없이 포도주를 마시며 식사를 계속했다.	Вот и будет 'под моим любимым углом'.
내가 모퉁이를 돈다. 그러자 내 앞에 있던 누군가는 벌써 다음 모퉁이를 돌 고 있다.	Мы помолчали какое-то время, занятые едой и вином.
그 누군가의 모습은 보이지 않는다. 그 하얀 옷자락이 언뜻 보일 뿐 이다.	- Я сворачиваю за угол, - заговорил я.
하지만 그 하얀 색만이 강렬하게 새겨져서 언제까지나 지워지지 않는다.	- И кто-то впереди меня тоже сворачивает ╜ за следующий угол.
이런 느낌 이해할 수 있겠어요?'	Мне не видно, кто это.
	Я у успеваю разглядеть лишь краешек белой одежды, мелькнувший в последний момент.
	Этот белый лоскут мельтешит, почти ускользая из виду, - но никак нельзя отделаться от него совсем...
내가 다시 말을 꺼냈다.	Знакомо тебе такое?
이해할 수 있을 것 같아요.'	- Вроде знакомо...
내가 당신의 귀에서 느끼는 건, 바로 그런 느낌이에요.'	- Вот такое же ощущение у меня от твоих ушей.
우리는 다시 묵묵히 식사를 했다.	Вновь погрузившись в молчание, мы продолжали ужин.
나는 그녀의 잔에 포도주를 따르고 내 잔 에도 따랐다.	Я подлил вина ей, потом себе.
그런 정경이 머리 속에 떠오르는 게 아니고, 그런 느낌이 드는 거지요?' 하고 그녀가 물었다.	- Ты же не о картинке в голове говоришь, а о самом ощущении, так ведь? - уточнила она.
맞아요.'	- Конечно!
이제까지 그런 걸 느껴 본 적 있어요?' 나는 잠시 생각한 후에 고개를 저었다.	- А раньше ты никогда подобного не испытывал?
없는데요.' '하지만 그건 다시 말해 내 귀 탓이라는 거지요?'	Немного подумав, я покачал головой: - Нет.
분명히 그렇다고 확신하는 건 아니에요.	- Получается, все из-за моих ушей?
하기는 확신 같은 걸 가질 수도 없 지요.	- Я не уверен...
귀의 생김새가 누군가에게 생김새가 누군가에게 항상 어떤 특정한 감정 을 불러일으킨다는 얘긴 들은 적도 없으니까요.'	Уверенность в чем-то ╜ вообще, очень скользкая штука...
파라 포세트 메이저스의 코를 볼 때마다 재채기가 나는 사람을 알아요. 재채 기란 그런 정신적 요소가 크게 작용하나 봐요.	К тому же, я еще ни разу не слышал, чтобы форма ушей вызывала у кого-то все время одни и те же чувства...
일단 원인과 결과가 결부되어 버리면 좀처럼 떨어질 수 없게 되고 말거든요.'	- Ну, один мой знакомый всегда начинает чихать при виде носа Фарры Фосетт-старшей.
나는 '파라 포ㅅ 메이저스의 코에 대한 건 잘 모르지만' 하고 말을 꺼내고 포도주를 마셨다.	А согласись: в том же чихании очень много чисто психологического.
	Какая-то причина причина порождает однажды случайное следствие - и вот то и другое уже связано в нас, да так, что не разорвать...
	- Я, конечно, не знаю, что там с носом у Фарры Фосетт-старшей... - начал я, отхлебнул вина и забыл, что хотел сказать.
그러고 나서 무슨 말을 하려 했었는지를 잊어버렸다.	- В твоем случае - что-то другое? - спросила она.
그것과는 조금 다르단 말이지요?'	- М-м-да, немного другое, - ответил я.
라고 그녀가 물었다. '네, 그것과는 조금 달라요' 라고 내가 대답했다.	- Что-то совершенно неуловимое - и в то же время страшно конкретное, важное...
	- Я развел руки на метровую ширину - и резко сдвинул ладони до промежутка в какие-то пять сантиметров.
내가 받는 느낌은 굉장히 막연하고, 게다가 한결같거든요.'	- Не знаю, как лучше сказать...
나는 양손을 1미터 가량 벌렸다가 5센티미터로 좁혔다. '제대로 설명할 수 없는데요.'	- Феномен концентрации на неосознанных мотивах.
막연한 동기에 입각한, 응축된 현상.'	- Именно так! - сказал я.
바로 그거예요' 라고 나는 말했다.	- Ого, да ты раз в десять умнее меня!
당신은 내 일곱 배쯤 머리가 좋군요.'	- Я ходила на курсы.
통신 교육을 받았거든요.'	- На курсы?
통신 교육?'	- Да.
그래요, 심리학 통신 교육.' 우리는 마지막 하나 남은 파이를 나눠 먹었다.	Заочные курсы по психологии.
나는 내가 무슨 말을 하려 했 었는지를 또 잊어버렸다.	Мы разделили на двоих остатки паштета.
당신은 내 귀와 그런 당신의 감정의 상관 관계를 아직 제대로 파악하지 못하 고 있는 거지요?'	Я опять забыл, что хотел сказать.
그래요. 다시 말해서 당신의 귀 자체가 직접 나에게 감동을 주는 건지, 그렇 지 않으면 또 다른 뭔가가 당신의 귀를 매개로 나에게 감동을 주는 건지 도저히 제대로 파악할 수가 없어요' 하고 내가 말했다.	- Значит, ты пока еще не уловил, что за связь между моими ушами и твоим ощущением?
그녀는 테이블 위에 두 손을 올려놓은 채로 살짝 어깨를 움직였다.	- Ну да, - сказал я.
	- Никак не пойму: то ли твои уши хотят мне что-то сказать напрямую, то ли что-то еще обращается ко мне через твои уши как через посредника...
당신이 느끼는 감정은 기분 좋은 것인가요, 아니면 불쾌한 것인가요?'	Не отнимая рук от стола, она слегка повела плечами.
그녀는 두 손으로 포도주 잔을 감싼 채 잠깐 동안 내 얼굴을 바라보았다.	- А это твое ощущение - приятное или неприятное?
당신은 감정을 표현하는 방법을 좀더 배우는 게 좋을 것 같아요.'	- Ни то, ни другое.
묘사력도 부족하고' 라고 내가 대꾸했다.	А может, и то, и другое вместе...
그녀는 미소 지었다.	Не знаю.
	Стиснув в пальцах бокал с вином, она некоторое время очень внимательно изучала мое лицо.
	- Мне кажется, тебе бы следовало научиться поточнее выражать свои чувства.
그래도 괜찮아요.	- Ага.
당신이 말하는 내용을 대강 알아들었으니까요.' '그럼 난 어떻게 할까요?'	Вот и с оборотами речи ни к черту, верно? - добавил я.
그녀는 계속 입을 다물고 있었다. 뭔가 딴 생각을 하고 있는 것처럼 보였다.	Она улыбнулась: - Ну, не так все ужасно...
테이블 위에는 다섯 개의 빈 접시가 가지런히 놓여 있었는데 멸망한 행성군처럼 보였다.	Я же, в общем, поняла, что ты хотел сказать.
긴 침묵을 깨고 '이봐요' 하고 그녀가 입을 열었다.	- И что мне, по-твоему, делать?
우리는 친구가 되는 게 좋을 것 같아요.	Она долго молчала.
	И, похоже, думала о чем-то совсем другом.
	Пять тарелок зияли пустотами на столе, точно стайка погибших планет.
	- Знаешь, - заговорила она после долгой паузы, - я думаю, нам надо стать друзьями.
물론 당신이 그래도 좋다고 한다면 요.'	Конечно, если ты хочешь...
무론 좋구말구요 라고 나는 대답했다.	- Разумеется, - сказал я.
그것도, 아주 아주 친한 친구가 되는 거예요' 라고 그녀가 덧붙였다.	- То есть, очень-очень близкими друзьями, - уточнила она.
나는 고개를 끄덕였다.	Я кивнул.
이렇게 해서 우리는 만난 지 30분 만에 아주 친한 친구가 되었다.	Так мы и стали очень-очень близкими друзьями.
친한 친구로서 당신에게 묻고 싶은 일이 있는데' 라고 나는 말했다.	Через полчаса после того, как впервые встретились.
좋아요.'	
	- Как очень близкий друг, хочу тебя кое о чем спросить, - сказал я.
우선 한 가지는 왜 귀를 내놓지 않느냐는 것.	- Давай, - сказала она.
또 한 가지는 이제까지 네 귀 가 나 이외의 누군가에게 특별한 힘을 미친 적이 있었는가 하는 거야.'	- Прежде всего - почему ты не открываешь ушей?
	И второе: случалось ли раньше, чтобы они, твои уши, оказывали еще на кого-нибудь такое странное действие?
그녀는 말없이 테이블 위에 놓인 손을 물끄러미 바라보고 있었다.	Она долго молчала, уткнувшись взглядом в свои руки на столе.
	- Тут много всего перемешано, - очень тихо сказала она, наконец.
이유는 여러 가지죠' 라고 그녀는 조용히 말했다.	- Перемешано?
여러 가지?'	- Ну, да...
네, 하지만 간단히 말하자면, 귀를 내놓지 않은 내 모습에 내가 너무 익숙해 져 있기 때문이에요.'	Хотя, если коротко: я просто привыкла к той себе, которая не показывает ушей.
그렇다면 귀를 내놓고 있을 때의 너와 귀를 내놓고 있지 않을 때의 너가 다 르다는 거야?'	- Получается, что ты с открытыми ушами и ты с закрытыми ушами - два разных человека?
그렇지요.'	- Вот именно.
두명의 웨이터가 접시를 치우고 수프를 가져왔다.	Официанты убрали пустые тарелки и подали суп.
귀를 내놓고 있을 때의 너에 대해서 이야기해 주지 않을래?'	- А ты можешь рассказать о той, которая с открытыми?
꽤 오래된 일이라서 제대로 이야기할 수가 없어요.	- Вряд ли получится, слишком давно это было...
사실 여두살 때부터 귀를 내놓은 적이 한 번도 없거든요.'	Правду сказать, с двенадцати лет я вообще их не открываю.
하지만 모델 일을 할 때는 귀를 내놓잖아?' '네' 하고 그녀는 대답했다.	- Ну, работая моделью, ты все-таки их показываешь, верно?
네. 하지만 그건 진짜 귀가 아니에요.' '진짜 귀가 아니라구?'	- Да, - сказала она, - Но там не настоящие уши.
그건 폐쇄된 귀예요.'	- Не настоящие уши?...
나는 수프를 두 모금 마시고 나서 고개를 들어 그녀의 얼굴을 보았다.	- Там - заблокированные уши.
폐쇄된 귀에 대해서 좀더 자세히 가르쳐 주지 않을래?' '폐쇄된 귀는 죽은 귀죠.	Проглотив пару ложек супа, я поднял глаза от тарелки и посмотрел ей в лицо.
	- Можешь объяснить чуть подробнее про 'заблокированные уши'? - 'Заблокированные' - это мертвые уши.
내가 스스로 귀를 죽이는 거예요.	Я сама убиваю их.
다시 말해서 의 식적으로 통로를 차단해 버린다는 말인데 ······ 알아듣겠어요?'	То есть я блокирую их - перекрываю им дорогу к сознанию, и...
나는 잘 이해가 되지 않았다.	Не понимаешь?
아무거나 물어 봐요' 라고 그녀는 말했다.	Я понимал с трудом.
	- Попробуй спросить, - сказала она. - 'Убить свои уши' - это что, перестать ими слышать? - Да нет же.
귀를 죽인다는 건, 귀가 들리지 않게 된다는 말이야?'	Слышать ты ими слышишь, все в порядке.
아뇨, 귀는 제대로 들려요.	Просто они мертвы.
하지만 귀는 죽은 거죠. 당신도 할 수 있어요.'	Да ты и сам это должен уметь!
그녀는 수프를 떠먹던 스푼을 테이블에 내려놓더니 등을 곧게 쭉 편 다음 양 쪽 어깨를 5센티미터 가량 위로 올리고 턱을 한껏 당기고 나서, 10초 가량 그 자세로 있다가 갑자기 어깨를 탁 떨구었다.	Положив ложку на стол, она выпрямилась, немного приподняла плечи, резко отвела назад подбородок, застыла так, напрягшись, секунд на десять - и, наконец, уронив плечи, расслабилась.
이제 귀는 죽었어요.	- Вот теперь уши умерли!...
당신도 해봐요.'	Сам попробуй.
나는 그녀와 똑같은 동작을 천천해 세 번 되풀이해 보았지만, 뭔가가 죽었다 는 느낌을 가질 수 없었다.	Неторопливо и тщательно я трижды проделал эти ее операции.
술기운이 좀더 빨리 퍼질 뿐이었다.	Ощущения, будто что-то умерло, не появлялось.
아무래도 내 귀는 제대로 죽지 못하는 모양인데' 하고 나는 실망스럽다는 듯이 말했다. 그녀는 고개를 저었다.	Разве что, пожалуй, вино побежало чуть быстрее в крови, вот и все.
	- Что-то никак мои уши не хотят умирать, - сказал я разочарованно.
괜찮아요. 죽일 필요가 없다면 죽일 수 없더라도 아무 지장 없을 테니까.'	Она покачала головой: - Бесполезно...
좀더 물어 봐도 될까?'	Видимо, когда нет нужды убивать - чувствуешь себя хорошо, даже не умея этого делать. - А можно еще поспрашивать?
좋아요.'	- Давай.
	- Сейчас я попробую собрать вместе все, о чем ты рассказала...
	Значит, до двенадцати лет ты живешь с открытыми ушами.
네가 말하는 걸 종합해 보면 이런 얘긴 것 같은데.	Потом в один прекрасный день ты их прячешь.
즉 너는 열두 살 때까지 는 귀를 내놓고 있었다.	После этого и до сих пор их больше не открываешь.
	И когда их уже просто нельзя не открыть - ты 'блокируешь' их, отключая от связи с сознанием...
그런데 어느 날 귀를 가렸다.	Так, да?
그리고 그때부터 지금까 지 한번도 귀를 내놓은 적이 없다.	Она радостно улыбнулась: - Именно так!
부득이하게 귀를 내놓아야 할 때는 귀와 의 식 사이의 통로를 폐쇄한다.	- Что же случилось с твоими ушами в двенадцать?
그런 거지?'	- Не торопись!
그녀는 생긋 웃으며 '맞아요' 하고 대답했다.	- Она протянула обе руки через стол и легонько коснулась моих пальцев.
열두 살 때 네 귀에 무슨 일이 일어났던 거지?'	- Прошу тебя...
서두르지 마세요, 부탁이에요' 라고 그녀는 말하고, 오른손을 테이블 너머로 내밀어 내 왼손 손가락을 살짝 건드렸다.	Я разлил остатки вина по бокалам и медленно осушил свой до дна.
나는 남은 포도주를 두 잔에 따른 다음 천천히 내 잔을 비웠다.	- Сначала я хотела бы узнать про тебя побольше.
우선 당신에 대해서 알고 싶어요.'	- Что, например?
나에 대한 어떤 걸?'	- Да все!
모두. 어떻게 자랐다든가, 나이는 몇 살이라든가, 무엇을 하고 있다든가 하는 것들 말이에요.' '평범한 이야기지.	Где и как ты рос, сколько тебе лет, чем занимаешься - ну, в таком духе...
너무 평범해서 아마 듣고 있으면 잠이 올 걸.' '난 평범한 이야기가 좋아요.' '내 이야기는 아무도 좋아해 주지 않는 평범한 이야기거든.'	- Скучно рассказывать. Все так банально, ты просто заснешь, не дослушав.
괜찮으니까 10분 동안만 이야기해 봐요.'	- А я люблю банальные темы.
생일은 1948년 12월 24일, 크리스마스 이브지.	- В моем случае все банально настолько, что не понравится никому.
크리스마스 이브는 생일로는 그다지 좋은 날이 아니야.	- Ладно, - засмеялась она, - Наговори хоть на десять минут!
	- Родился я двадцать четвертого декабря 1948 года, под самое Рождество...
왜냐하면 생일 선물과 크리스마스 선물이 겹쳐 버리 거든. 모두들 대충 넘기려고 들지.	Мало хорошего, когда у тебя именины под Рождество.
별자리는 염소자리고 혈액형은 A인데, 염소 자리에 혈액형이 A인 사람은 은행원이나 구청 직원이 제격이라지 아마.	Сама посуди: подарки ко дню рождения - те же подарки к Рождеству.
사수 자리와 천칭자리와 물병자리와는 궁합이 나쁘다고 하더군.	Все пытаются на этом как-нибудь сэкономить...
	По звездам - Козерог, группа крови первая; в таком сочетании - склонность быть муниципальным клерком или банковским служащим.
어때, 따분한 인생이 라고 생각되지 않아?' '재미있을 것 같은데요.'	Союз со Стрельцом, Весами и Водолеем неблагоприятен...
평범한 거리에서 자라 평범한 학교를 나왔지.	Не жизнь - тоска, тебе не кажется?
어릴 때는 말수가 적은 아이였 고 커서는 따분한 아이가 됐어.	- Звучит весьма забавно!
평범한 여자아이와 알게 되어 평범한 첫사랑을 했지. 열 여덟 살 때 대학에 들어가 도쿄로 나왔지.	- Вырос в обычном городишке, окончил самую обычную школу.
대학을 졸업한 후에 친구 와 둘이서 작은 번역 사무소를 시작해, 그럭저럭 밥벌이는 했어.	Особой болтливостью и в детстве не отличался, подростком же был просто занудой.
3년쯤 전부터 는 선전지와 광고 관계 일에도 손을 댔고, 그 쪽 일은 순조롭게 진행되고 있어.	Обычная первая подружка, обычная первая любовь.
	Дорос до восемнадцати - поступил в университет, переехал в Токио.
	Закончил университет, открыл на пару с приятелем маленькую переводческую контору - там сейчас и кормлюсь понемногу.
	Года три назад начал брать заказы в рекламном журнале - оформлять объявления; там пока все тоже благополучно.
회사에서 같이 일하던 여자를 사귀게 되어 4년 전에 결혼했는데, 두 달 전에 이 혼했지.	Четыре года назад познакомился с одной девчонкой, служащей фирмы, женился; два месяца назад развелся.
	Почему - в двух словах не расскажешь...
이혼 사유를 한마디로는 설명할 수는 없어.	Держу одну престарелую кошку.
늙은 수고양이를 한 마리 기르고 있고, 담배는 하루에 마흔 개비 정도 피우지.	В день выкуриваю сорок сигарет.
도저히 끊을 수가 없거든.	Бросить не получается, как ни пытаюсь.
양복 세 벌과 넥타이 여섯 개, 그리고 흘러 간 레코드를 오백 장 가지고 있지.	У меня три костюма, шесть галстуков и пятьсот давно вышедших из моды пластинок.
엘러리 퀸이 쓴 소설의 범인은 모두 기억하고 있고.	Помню имена всех убийц из романов Эллери Куина.
프루스트의 <잃어버린 시 간을 찾아서>도 한 질 가지고 있지만, 반밖에 못 읽었어.	В Поисках Утраченного Времени' Пруста собрал полностью, но прочитал только половину.
여름에는 맥주를 마 시고, 겨울에는 위스키를 마시지.'	Летом пью пиво, зимой - виски.
그리고 사흘 중 이틀은 바에서 오믈렛과 샌드위치를 먹는다?'	- И, наконец, каждые два дня из трех ты ешь сэндвичи с омлетом в баре?
맞았어' 라고 나는 대답했다.	- Ага, - кивнул я.
재미있을 것 같은 인생인데요.'	- Очень интересная жизнь!
	- До сих пор была одна сплошная скучища, да и дальше, видимо, будет так же.
줄곧 따분한 인생이었고 앞으로도 마찬가지겠지.	Хотя не сказал бы, что мне в такой жизни что-то не нравится.
하지만 그것이 마음에 들지 않는다는 건 아니야.	В том смысле, что все равно уже ничего не поделать...
요컨대 별도리가 없다는 얘기지.'	Я взглянул на часы.
나는 시계를 보았다. 9분 20초가 흘렀다.	Прошло десять минут и двадцать секунд.
하지만 지금 말한 게 당신의 모든 것은 아니잖아요.'	- И все-таки в том, что ты сейчас рассказал - еще не весь ты, правда?
나는 테이블 위에 놓여 있는 내 두 손을 잠깐 동안 응시했다.	Я помолчал, разглядывая свои руки на скатерти.
무론 전부는 아니지.	- Конечно, не весь.
	Даже про самую скучную жизнь никогда не расскажешь все полностью, верно?
아무리 따분한 인생이라도 10분 안에 전부 이야기할 수 는 없으니까.' '내 감상을 말해도 돼요?'	- А хочешь, я теперь расскажу о своем впечатлении от тебя?
물론.'	- Хочу.
	- Обычно, когда я встречаюсь с кем-то впервые, первые десять минут даю человеку выговориться.
나는 초면인 사람을 만나면, 10분 동안 그 사람의 말을 듣지요.	А потом уже стараюсь поймать его, выворачивая то, что он говорил, наизнанку...
그리고 상대 가 말한 내용과는 정반대의 관점에서 상대를 파악하죠.	Считаешь, это неправильно?
이런 방법이 잘못됐다 고 생각해요?'	- Отчего же, - я покачал головой.
아니' 라고 대답하며 나는 고개를 저었다.	- Пожалуй, ты действуешь верно.
아마 네 방법이 옳을 거야.'	Официант, появившись из воздуха, расставил тарелки.
한 웨이터가 와서 테이블에 접시를 나란히 놓더니 다른 웨이터가 와서 접시에 요리를 보고 좋게 담고, 소스 담당이 그 위에 소스를 뿌렸다.	Другой, сменив первого, разложил по тарелкам еду.
쇼트에서 세컨트 로, 세컨드에서 퍼스트로, 그런 느낌이었다.	Наконец, пришел третий и полил все какими-то соусами.
그 방법을 당신에게 적용시켜 보면, 이렇게 될 것 같아요' 라고 그녀는 말하고 나서 무스 케이크에 나이프를 대면서 말을 이었다.	Точно три бейсболиста безупречно разыграли подачу: от удара - на вторую зону - до первой.
	- Если же такой способ испытать на тебе, то вот что получится, - произнесла она, вонзая нож в заливной язык. - Не жизнь твоя скучная.
당신의 인생이 따분한 게 아니라 당신이 따분한 인생을 추구하고 있는 건지 도 몰라요.	Ты просто хочешь, чтобы она выглядела скучной.
그렇지 않나요?' '네 말이 맞을지도 몰라.	Не так ли? - Может, ты и права, не знаю.
	Может, и в самом деле - жизнь у меня вовсе не скучная, просто я хочу ее такой видеть.
내 인생이 따분한 게 아니라 내가 따분한 인생을 추 구하고 있는지도 모르지.	Да результат-то один и тот же!
그래도 결과는 마찬가지야. 어쨌든 나는 이미 그것을 얻었거든.	Что так, что эдак, - результат уже у меня в руках.
모두 따분함에서 벗어나려고 하는데, 나는 따분함 속에 안주하려고 하고 있지.	Все хотят убежать от скуки, я хочу влезть в эту скуку поглубже.
마치 러시 아워에 다른 사람들과 반대 방향으로 가듯이 말이야.	Будто двигаться в час пик против теченья толпы...
그 러니까 내 인생이 따분해졌다고 해서 불평을 하진 않아.	Так что я вовсе не жалуюсь, что у меня скучная жизнь.
아내가 달아날 정도면 말 다했지.' '부인과는 그래서 헤어졌어요?'	Это жена пусть уходит, если ей не нравится...
아까도 말했지만 한마디론 설명할 수 없어.	- Поэтому вы с ней и расстались?
하지만 니체도 말했듯이 신들도 따분함에는 항복한다고 하잖아, 뭐 그런 거지.'	- Я же говорю - в двух словах не расскажешь.
	Хотя еще Ницше сказал: 'Пред ликом скуки даже боги слагают знамена'...
우리는 천천히 요리를 먹었다.	Так и вышло.
그녀는 도중에 소스를 더 청했고, 나는 빵을 더 먹었다.	Мы снова принялись за еду.
메인 디시를 다 먹을 때까지, 우리는 서로 딴 생각을 했다.	Она налила себе еще соуса, я доел оставшийся хлеб.
접시를 물리고 블루베리 셔벗을 먹은 다음 에스프레소 커피가 나왔을 때, 나는 담배에 불을 붙였다.	Пока мы заканчивали главные блюда, каждый думал о своем.
담배 연기는 아주 잠깐 공중을 떠돌다가 소리 나지 않는 환기 장 치 속으로 빨려 들어갔다.	Тарелки забрали, мы съели по голубичному шербету.
몇몇 테이블에도 손님이 있었다.	Потом подали кофе, и я закурил.
	Дым вытекал из сигареты и, пометавшись в воздухе секунду-другую, исчезал в беззвучных и невидимых кондиционерах.
천장에 달린 스피 커에서는 모차르트의 콘체르토가 흘러나오고 있었다.	Несколько новых посетителей рассаживались за столиками вокруг.
	Концерт Моцарта растекался по залу, просачиваясь из динамиков в потолке.
너의 귀에 대해서 조금 더 듣고 싶어' 라고 나는 말했다.	- Можно еще спросить про уши?
당신이 묻고 싶은 건, 내 귀가 특별한 힘을 가지고 있느냐 하는 거지요?'	- Ты, наверное, хочешь спросить - есть ли у них какая-то чудодейственная сила, да?
나는 고개를 끄덕였다.	Я кивнул.
그건 당신 스스로 확인해 주면 좋겠어요.	- А вот это тебе лучше проверить самому.
내가 당신에게 그것에 대해서 무슨 말을 한도고 해도 매우 한정된 형태로밖에는 이야기할 수가 없고, 그러면 당신 에게 도움이 될 것 같지는 않거든요.' 그녀가 말했다.	Даже если я стану рассказывать, моя история будет ограничена рамками моей личности ╜ и вряд ли тебе пригодится.
나는 다시 한 번 고개를 끄덕였다.	Я кивнул еще раз.
그녀는 커피를 다 마시고 나서 이렇게 덧붙였다. '당신을 위해서 귀를 내놓을 수는 있어요.	- Тебе я могу показать свои уши, - продолжала она, допив кофе.
하지만 그렇게 하는 게 정말 당신 에게 도움이 될지는 나도 모르겠어요.	- Вот только не знаю, поможет ли тебе это...
당신은 후회하게 될지도 몰라요.'	Может, наоборот, потом пожалеешь.
왜?'	- Почему?
당신의 따분함은 당신이 생각하고 있는 것만큼 단단한 게 아닌지도 모른다는 말이죠.' '할 수 없지' 라고 내가 대꾸했다.	- Может, твоя скука не настолько сильна. - В таком случае, ничего не попишешь.
그녀는 테이블 너머로 손을 뻗어 내 손위에 얹었다.	Она протянула руки через стол и накрыла мои пальцы ладонями.
그리고 또 한가지, 얼마 동안-앞으로 몇 달쯤-내 곁을 떠나지 말았으면 좋겠 는데 괜찮아요?'	- Тогда - вот еще что...
좋아.' 그녀는 핸드백에서 검은색 머리띠를 꺼내 그것을 입에 물고, 두 손으로 머리 카락을 감싸듯이 해서 뒤로 돌려 한 번 비틀더니 재빨리 묶었다.	После этого какое-то время, месяца два или три - будь со мной рядом.
어때요?'	Хорошо?
나는 숨을 죽이고 물끄러미 그녀를 바라보았다.	- Хорошо...
입안은 바싹바싹 마르고, 몸 의 어디에서도 목소리가 나오지 않았다.	Она достала из сумочки черную ленту и зажала ее в губах.
	Затем обеими руками отвела назад волосы, задержала их и ловко перехватила лентой.
순간적으로 흰 회벽이 물결치는 것처 럼 느껴졌다.	- Ну, как?...
가게 안의 말소리와 식기 부딪치는 소리가 희미한 엷은 구름과 같은 것으로 모습을 바꾸더니, 다시 원래대로 되었다.	Изумленный, я смотрел на нее, затаив дыхание.
파도 소리가 들려 오고 해질녘의 그리운 냄새가 느껴졌다.	Во рту пересохло, и голос никак не мог найти выхода из одеревеневшего тела.
	На мгновение мне почудилось, будто в ослепительно-белую штукатурку стен вокруг вдруг с силой ударили волны.
	Ресторанные звуки - обрывки голосов, звон посуды - внезапно собрались в одно смутное, полупрозрачное облако, сгустились - и вновь рассеялись по прежним местам.
	Мне послышался шелест волн, и забытым запахом предзакатного моря повеяло из забытого прошлого...
	Но и это было лишь ничтожной частичкой всего, что переполнило мою душу за какую-то сотую долю секунды.
그러나 모든 것은 겨우 몇백 분의 일 초 정 도의 짧은 순간에 내가 느꼈던 것의 극히 일부분에 지나지 않았다.	- Колоссально, - еле выдавил я из себя.
나는 쥐어짜듯이 '굉장해. 같은 사람이 아닌 것 같군' 하고 말했다.	- Как будто другой человек!
그녀는 내 말에 '그 말이 맞아요' 하고 대꾸했다.	- Так оно и есть, - сказала она.
