제4장 양을 쫓는 모험I	Часть четвертая ОХОТА НА ОВЕЦ - I
	Узкие кисти рук без малейших морщин плавными линиями перетекали в длинные, много лет упражнявшиеся в гибкости пальцы и своим видом напоминали древнейшую форму биорастительности - два семейства извивающихся существ с общими грибницами-корневищами, в недрах которых и по сей день таились дремучие инстинкты самой первой жизни на Земле.
고급 맞춤인 듯한 회색 양복 소매 밖으로 횐 셔츠가 정확히 1.5센티미터 엿보였고, 미묘한 색조의 줄무늬 넥타이는 아주 약간 좌우 비대칭이 되도록 세심하게 손질되어 있었으며, 검은 코도반(역주:말 궁둥이 가죽) 구두는 반들반들 윤이 났다.	Ногти, отшлифованные временем и кропотливой заботой, слагали на кончиках пальцев орнамент из безупречных по форме овалов.
나이는 30대 중반에서 마흔쯤 되어 보였고, 키는 175센티미터 남짓한 데다가 군살은 1그램도 붙어 있지 않았다.	То были несомненно красивые и чем-то неуловимо странные руки.
가는 손에는 주름 하나 없고, 날씬하게 쭉 뻗은 열 손가락은 오랜 세월에 걸쳐 훈련되어, 통제되고 있기는 하지만 마음 밑 바닥에는 원초적인 기억을 항상 품고 있는 군생 동물을 연상시켰다.	Вид этих рук заставлял подозревать, что владелец их ╜ специалист какого-то очень узкого профиля, вот только какого именно - для всех оставалось загадкой.
손톱은 시간과 수고를 들여 완벽하리만큼 다듬어져 있었고 손가락 끝에는 열 개의 멋진 타원이 그려져 있었다.	В отличие от рук, лицо этого человека ничего особенного не рассказывало.
실로 아름답기는 하지만, 어딘지 기묘한 느낌 을 주는 손이었다.	Очень правильное лицо - простое и без выражения.
그 손을 극히 한정한 분야에서의 고도의 전문성을 느끼게 했는데, 그것이 어떠한 분야인지는 아무도 알 수 없었다.	Прямые, будто стесанные топором, линии надбровий и носа; ровная полоса сухих губ.
남자의 얼굴은 그 손만큼 많은 것을 말해 주고 있지는 않았다. 단정한 얼굴 이기는 했지만 무표정하고 단조로웠다.	Чуть темноватый, глубокий тон его кожи был совсем не похож на тот обычный загар, какой легко получают на пляжах и теннисных кортах.
	Разве только совсем чужое, неведомое солнце, припекая с небес над неизвестной землей, могло придать человеческой коже такой необычный оттенок.
콧날도 눈도 나중에 커터 나이프로 손 질한 것처럼 직선적이고, 입술은 얇고 메말라 있었다.	Время ползло угрожающе медленно.
	Все эти тридцать минут были жестко-холодными и напряженными, точно болты в крепежной конструкции, что только и удерживает готовый вот-вот сорваться в небо гигантский цеппелин.
남자는 전체적으로 거무스름하게 볕에 그을러 있었으나, 그것이 어딘가의 바 닷가나 테니스 코트에서 장난 삼아 태운 것이 아님은 한눈에 알아볼 수 있었다.	И когда мой напарник, наконец, возвратился из банка, ему показалось, что воздух в конторе был страшно угрюм и тяжел.
우리가 모르는 종류의 태양이 우리가 모르는 장소의 상공에서 내리쬐 그런 종류 의 볕에 그을린 얼굴을 만들어 내는 것이다.	Как если бы всю мебель вокруг поприбивали гвоздями к полу.
시간은 놀라울 만큼 천천히 흘렀는데 하늘을 향해서 치솟은 거대한 기계 장치 의 하나의 볼트를 연상시키는 차갑고 냉랭하고 경직된 분위기에 휩싸인 30분이 었다.	- Я, разумеется, только хочу сказать, что мне так показалось...
내 친구는 은행에서 돌아왔을 때, 방안의 공기가 몹시 무겁다는 걸 느낄 수 있었다.	- Ну, разумеется! - ответил я.
극단적으로 말하자면, 방안에 있는 모든 것이 못으로 바닥에 고정된 듯 한 바로 그런 느낌이었다.	Одинокая секретарша на телефоне, сраженная столбняком, забилась в свой угол и подавала крайне мало признаков жизни.
	Сбитый с толку, мой напарник забрел в приемную, увидел там посетителя, автоматически представился, назвав свое имя и должность, и только тогда, наконец, гость нарушил позу истукана, извлек из нагрудного кармана тонкие сигареты, закурил и с озабоченно-хмурым видом выпустил в пространство перед собой узкую струю дыма.
물론, 그런 느낌이 들었다는 것뿐이야' 라고 친구는 말했다.	Воздух в комнате дрогнул и будто слегка разрядился.
물론이겠지' 하고 나도 말했다.	- Времени в обрез.
혼자서 전화를 지키고 있던 사원은 긴장한 탓에 완전히 지쳐 있었다.	Так что перейдем сразу к делу, - негромко произнес посетитель.
친구가 영문도 모른 채 응접실로 들어가 자기가 경영자라고 밝히자, 남자는 비로소 자 세를 허물어뜨리고 양복 윗주머니에서 가느다란 담배를 꺼내 불을 붙인 다음, 귀찮다는 듯이 연기를 공중에 내뿜었다.	Сказав так, он вытащил из бумажника вычурную, чуть не режущую пальцы краями визитную карточку и с легким щелчком припечатал ее к столу.
	С карточки из особой, похожей на пластик бумаги неестественно-белого цвета глядели на мир черные, отпечатанные мелким шрифтом иероглифы имени и фамилии.
주위의 공기가 아주 조금 느슨해졌다. '시간이 그다지 많지 않으니까 간단히 하지요' 라고 남자는 조용히 말했다.	Ни званий, ни должности, ни телефона - только эти четыре иероглифа.
그리고 단호한 태도로 손이 베일 정도로 빳빳한 명함을 지갑에서 꺼내 책상 위에 놓았다.	При одном взгляде на эту карточку начинали болеть глаза.
플라스틱 비슷한 특수한 종이로 만든 명함이라서 부자연스러울 만큼 새하ㅇ고, 거기에는 작은 검은 활자로 이름이 인 쇄되어 있었다.	Мой напарник перевернул визитку обратной стороной вверх, убедился в девственной белизне ее оборота, глянул еще раз на лицевую сторону - и поднял глаза на странного гостя.
직함도 없고 주소도 전화 번호도 없었다. 다만 넉 자로 된 이름뿐이었다.	- Вам знакомо это имя, не правда ли? - спросил тот.
쳐 다보기만 해도 눈이 아파 오는 명함이었다.	- Да, знакомо.
친구는 뒤집어서 뒤가 완전한 백지 임을 확인하고 난 후에 다시 한 번 앞을 본 다음 남자의 얼굴을 보았다.	Странный гость коротко кивнул, сместив подбородок вниз на несколько миллиметров.
그분의 존함은 아시겠지요?' 라고 남자는 말했다.	Взгляд его при этом не дрогнул ни на мгновение.
알고 있습니다.'	- Сожгите ее.
남자는 턱 끝을 아주 약간만 움직여서 끄덕였다. 시선만이 고정되어 있었다. '태워 주세요.' '태워요?'	- Сжечь?... - мой напарник, разинув рот, уставился на собеседника. - Вот эту карточку.
친구는 멍하니 상대의 눈을 쳐다보았다.	Прямо сейчас.
그 명함을 지금 당장 태워 버리세요' 라고 남자는 자르듯이 단호하게 말했다. 내 친구는 황급히 탁상용 라이터를 손에 들고 새하얀 명함 모서리에 불을 붙 였다.	Сожгите, пожалуйста, и выбросьте пепел, - слово за словом, будто строгая ножом, произнес посетитель.
	В абсолютной растерянности мой напарник взял со стола зажигалку, высек огонь и поднес язычок пламени к самому краю карточки.
	Взявшись пальцами за другой край, он подождал, пока та догорела до половины, затем опустил ее, пылающую, в большую хрустальную пепельницу посередине стола, и оба стали молча следить глазами за тем, как бумага медленно исчезала, превращаясь в белесый пепел.
그리고 가장자리를 손으로 잡은 채 절반쯤 태운 다음 커다란 크리스털 재떨이에 내려놓고, 두 사람은 다 타서 흰 재가 될 때까지 그걸 바라보았다.	Когда карточка сгорела дотла, в комнате воцарилась глухая, свинцовая тишина, точно на поле боя после смертельной резни.
명 함이 완전히 재가 되어 버리자, 방은 대량 학살 직후를 연상시키는 무거운 침묵 에 휩싸였다. '나는 그분으로부터 모든 권한을 위임받고 여기에 왔습니다.'	- Я нахожусь здесь как полномочный представитель всех интересов этого господина, - нарушил паузу посетитель.
라고 얼마 후에 남자는 입을 열었다. '다시 말해서 이제부터 내가 당신에게 말씀드리는 모든 건 그분의 의사고, 희 망이라고 이해해 주셨으면 합니다.'	- Иначе говоря, я хотел бы от вас понимания того обстоятельства, что все, о чем я сообщу, передается вам в соответствии с его личными волей и желаниями.
	- Желаниями... - повторил мой напарник. - 'Желание' - наиболее красивое слово для обозначения принципиальной позиции субъекта по отношению к намеченной цели.
희망······' 하고 친구는 말했다. '물론 희망이라는 것은 어떤 한정된 목표에 대한 기본적 자세를 가장 아름다 운 말로 표현한 것입니다.	Разумеется, - добавил незнакомец, - могут быть и другие выражения.
또 다른 표현 방법도 있지요.	Вы меня понимаете?
알고 계시죠' 하고 남자는 말했다. 내 친구는 머리 속에서 남자의 말을 현실적인 일본어로 대치해 보았다.	Мой напарник попытался в уме перевести речь собеседника на человеческий язык.
압니다.'	- Понимаю...
그렇지만 이건 개별적인 이야기도 정치적인 이야기도 아니고, 어디까지나 비 즈니스에 관한 이야기입니다.'	- Как бы там ни было, мы не будем здесь рассуждать ни о понятиях с концепциями, ни о большой политике; разговор пойдет исключительно про бизнес.
남자는 '비즈니스'라는 말을 영어식으로 제대로 정확하게 발음했다. 아마도 일본계 미국인 2세 정도 되는 모양이었다.	Слово 'бизнес' этот человек произнес очень отчетливо, с явным американским акцентом: 'бейзнесс'. Как пить дать - предки-иностранцы где-нибудь во втором колене.
당신도 비즈니스맨이고, 나도 비즈니스맨입니다.	- Вы бизнесмен - и я бизнесмен.
현실적으로 말하더라도 우 리 사이에는 비즈니스 이외에 이야기할 만한 것이 아무것도 없습니다.	Если исходить из реальности, то ни о чем другом, кроме бизнеса, мы с вами и не должны говорить.
비현실 적인 일은 누군가 다른 사람들에게 맡깁시다.	А вопросами нереальной природы пусть займутся другие.
그렇지요?'	Не так ли?
그렇습니다.' 라고 친구는 말했다.	- Именно так, - ответил мой напарник.
그와 같은 비현실적인 요소를 세련된 형태로 바꿔 현실의 대지(大地)에 끼워 넣어 가는 일이 우리에게 주어진 임무입니다. 사람들은 종종 비현실적으로 치 닫으려고 합니다.	- Наши же обязанности сводятся к тому, чтобы придавать нереальным категориям утонченно-привлекательный вид и вставлять их в жесткие рамки реальности...
왜냐하면' 까지 말한 남자는 왼손 가운뎃손가락에 낀 초록색 돌로 된 반지를 오른손 손 가락으로 만졌다.	Люди зачастую сами бывают рады убежать в нереальное.
그 쪽이 간단해 보이기 때문입니다. 그리고 어떤 경우에는 때때로 비현실이 현실을 압도한 듯한 인상을 주기도 합니다.	А все потому, - и указательным пальцем правой руки гость погладил изумрудного цвета перстень на среднем пальце левой, - что им так кажется проще.
그러나 비현실의 세계에서는 비즈 니스가 존재하지 않습니다. 다시 말해서 우리는 어려움을 지향하는 사람들인 것입니다.	В силу этого иногда получается, что нереальное уже вроде как вытесняет, выдавливает собой реальность.
그러니까 만약에······. 남자는 말을 끊고 다시 한 번 반지를 만지작거렸다.	Однако, заметим: в нереальном мире нет места для бизнеса.
이제부터 제가 말씀드리는 일로 인해서 당신이 어떤 어려운 작업 또는 결단 을 요구받는다고 하더라도, 그것을 양해해 주시기 바란다는 뜻입니다.	Мы же, таким образом, представляем собой особую разновидность людей, чье появление влечет за собой проблемы и осложнения.
	Поэтому, - и, прервавшись, он снова погладил зеленый перстень, - если то, что я вам сейчас сообщу, вдруг потребует от вас принятия важных решений либо еще как-нибудь усложнит вашу жизнь, - то я просил бы заранее меня извинить.
내 친구는 제대로 이해도 못한 채 말없이 고개만 끄덕였다.	Плохо соображая, о чем идет речь, мой напарник молчал.
그러면 이쪽의 희망을 말씀드리겠습니다.	- Итак, перейдем к реальным желаниям.
우선 첫 번째로 귀사에서 제작하신 P생명의 PR지 발행을 즉각 중지해 주시기 바랍니다.: '하지만······.'	Первое: мы желаем, чтобы вы немедленно остановили выпуск журнала с изготовленной вами рекламой страхового агентства П.
두 번째로' 라면 남자는 친구의 말을 가로막았다.	- Но, позвольте...
이 페이지의 담당자와 직접 만나서 이야기하고 싶습니다.'	- Второе, - с силой оборвал незнакомец.
남자는 양복의 속주머니에서 흰 봉투를 꺼낸 다음 그 안에서 네 번 접은 종이 조각을 꺼내 친구에게 건네주었다.	- С работником, подготовившим эту страницу, мы желали бы непосредственно встретиться и поговорить.
	Посетитель извлек из нагрудного кармана пиджака белоснежный конверт, вынул оттуда сложенный вчетверо лист бумаги и протянул моему собеседнику.
친구는 종이를 손에 들고 펼쳐 보았다.	Тот взял его и, развернув, пробежал глазами.
그 것은 틀림없이 우리가 제작한 생명보험 회사의 그라비어(역주:사진 제판에 의한 요판 인쇄의 하나)페이지를 복사한 것이었다.	Это была копия страницы с рекламой страхового агентства, сделанной, несомненно, в нашей конторе.
홋가이도(北海道)의 평범한 풍경 사진-구름과 산과 양과 초원, 그리고 어딘가에서 모방한 그다지 신통치 않은 목 가적인 시, 그것뿐이다.	Фотография - стандартный пейзаж Хоккайдо: снег, горы, овцы в долине да позаимствованные неведомо откуда строчки пастушьей песенки; ничего более.
이 두 가지가 우리의 희망입니다.	- Таковы два наших желания.
첫 번째 희망에 관해서 말하면, 이건 희망 이라기보다는 이미 확정된 사실입니다.	Собственно, насчет первого стоит сказать, что это решенное дело.
정확히 말하자면 이미 우리의 희망에 따른 결정이 내려진 겁니다. 의심스러운 점이 있으면 나중에 홍보 과장에게 전 화를 걸어 보십시오.'	А если быть совсем точным, то в русле этого желания уже принято соответствующее решение.
그렇습니까' 라고 내 친구는 말했다. '그러나 귀사 정도의 규모라면 이와 같은 트러브에서 받는 불이익이 매우 클 거라는 건 쉽게 상상할 수 있습니다.	И если имеют место какие-то сомнения, никто не мешает вам позвонить в издательство начальнику отдела рекламы.
다행히 우리는-당신도 아시다시피-이 업 계에서는 적지 않은 힘을 행사하고 있습니다.	- Да, действительно, - сказал мой напарник.
	- Тем не менее, мы, со своей стороны, с легкостью можем представить серьезность того ущерба, который подобное затруднение может нанести фирме вашего масштаба.
그래서 우리의 두 번째 요구 조 건을 수락해 그 담당자가 우리에게 만족할 만한 정보를 주신다면, 우리는 당신 들이 받은 불이익에 대해 충분한 보상을 해드릴 용의가 있습니다.	Слава Богу, мы - и вы знаете это - располагаем известного рода влиянием в данных кругах.
	И поэтому в случае, если наше второе желание окажется выполнимо и ваш сотрудник предоставит удовлетворяющую нас информацию, мы будем готовы с лихвой компенсировать все расходы по компенсации вашего ущерба.
아마도 보상 이상의 것이 될 것입니다.'	С лихвой, уверяю вас.
침묵이 방안을 지배했다.	Глубокая тишина затопила комнату.
	- Если же мы не встретим у вас понимания в этом вопросе, - продолжал после паузы незнакомец, - вам прийдется сойти с дистанции.
만약 희망을 들어 주지 않으신다면' 하고 남자는 말을 이었다.	С этого дня и до скончания века в этом мире для вас не найдется свободного места.
당신들은 어차피 아웃 당할 겁니다.	Снова - давящая тишина.
앞으로도 계속 이 세계에 발을 들여놓지 못할 겁니다.'	- У вас есть какие-нибудь вопросы?
	- Если я вас правильно понимаю, проблема - в самой фотографии? - робко спросил мой напарник.
그리고 다시 침묵이 이어졌다. '질문 있습니까?'	- Совершенно правильно, - подтвердил гость.
	Его постоянно шевелящиеся пальцы словно перебирали и отсортировывала слова перед тем, как он произносил их.
다시 말해서 이 사진이 문제인 셈이군요?'	- Совершенно правильно.
라고 친구는 조심스럽게 질문했다. 남자는 '그렇습니다' 라고 대답했다.	Однако ничего сверх этого я вам объяснить не могу.
그리고 손바닥 위에서 주의 깊게 말을 추려 냈다.	Не располагаю для этого полномочиями.
그렇습니다. 그러나 그 이상은 당신에게 말씀드릴 수 없습니다. 그럴 권한 은 나에게 주어져 있지 않으니까요.' '담당자에게는 전화로 연락을 취하겠습니다.	- Сотруднику я позвоню домой... Думаю, он будет здесь в три, - сказал мой напарник.
세 시에는 여기에 와 있을 겁니 다' 라고 친구는 말했다.	- Прекрасно, - и гость скользнул глазами к часам на руке.
남자는 '좋습니다' 라고 대답한 다음 손목시계를 보았다. '그러면 네 시에 차를 보내지요.	- В таком случае, к четырем часам я присылаю машину.
그리고 이건 중요한 일인데 이 건에 관해서 는 일체 비밀을 지켜 주셔야 합니다.	И наконец - особо важный момент: все, о чем здесь говорилось, ни малейшему разглашению не подлежит.
아니겠지요?'	Договорились?
그러고 나서 두 사람은 사무적으로 헤어졌다.	И два бизнесмена расстались по-деловому.
	
3 '선생님'	3. СЭНСЭЙ
에 관한 이야기 '그렇게 된 거야' 라고 내 친구는 말했다.	- Вот такие дела, - сказал мой напарник.
도무지 알 수가 없군.' 나는 불을 붙이지 않은 담배를 입에 문 채로 말했다.	- Ни черта не понятно, - сказал я, сжимая в губах незажженную сигарету.
우선 명함 속의 인물이 도대체 누군지 알 수가 없어.	- Во-первых, непонятно, что за птица - настоящий хозяин карточки.
그리고 그 인물이 왜 양의 사진에 신경을 쓰는지도 알 수가 없고.	Во-вторых, непонятно, почему он так нервничает из-за фотографии каких-то овец.
	Ну и, наконец, мне совершенно неясно, каким образом этот тип может изъять из печати нашу рекламу...
마지막으로 그 인물이 우리의 발 행물을 어떻게 막을 수 있는지도 모르겠어.'	- Хозяин карточки - крупная акула правых.
	Во внешний мир особенно не высовывается, и поэтому простому народу его имя может ничего и не говорить; в деловых же кругах о нем знают практически все.
명함 속의 인물은 우익(右翼)의 거물이야.	Ты, видно, ╜ единственное исключение...
이름도 얼굴도 거의 표면에 드러 내지 않으니까 일반인에게는 그다지 알려져 있지 않지만, 이 업계에서는 모르는 사람이 없지.	- Далек я от светской жизни! - буркнул я, словно оправдываясь.
모르는 사람은 아마 자네 정도밖에 없을걸.'	- Вообще говоря, он не совсем из правых...
세상 돌아가는 일에 어두우니까' 라고 나는 변명했다.	Даже, скорее, - совсем не из правых.
우익이라고 하지만 흔히 말하는 우익이 아니야. 어쩌면 우익조차 아닐지도 모르지.'	- Ну, вот - вообще ничего не понятно...
점점 더 알 수 없군.' '사실을 말하면, 그가 무엇을 생각하고 있는지는 아무도 모른다구.	- Если честно, всегда было сложно разобраться, что там у него в голове.
책을 내 것도 아니고, 사람들 앞에서 연설을 하는 것도 아니지.	Работ он не пишет, речей перед аудиториями не говорит.
	Пять лет назад репортер из одного ежемесячника попробовал было копнуть под него по поводу взяток, оформлявшихся как партийные взносы, - да самого же репортера и закопали...
인터뷰도 사진 촬영도 일체 허용되지 않거든.	- А ты, я смотрю, неплохо осведомлен!
살아 있는지 죽었는지조차도 알 수 없을 정도야.	- Я хорошо знал того репортера.
5년 전에 어느 월간지의 기자가 그가 연루된 부정 융자 사건을 특종 기사로 다루려 고 했다가, 당장에 묵살 당했지.'	Я поднес зажигалку к сигарете в губах и затянулся.
꽤 자세히 알고 있군.'	
그 기자와 간접적으로 아는 사이였거든.'	- А этот репортер...
나는 입에 물고 있던 담배에 라이터로 불을 붙였다.	
그 기자는 지금 무엇을 하고 있는데?'	Чем он сейчас занимается?
영업부로 밀려나서 아침부터 저녁까지 열심히 전표 정리를 하고 있어.	- Перебросили в общий отдел.
매스 컴의 세계라는 게 의외로 좁아서 그런 친구는 꽤 좋은 본보기가 되지.	С утра до вечера, не разгибаясь, правит рекламные тексты...
	Мир 'масс-коми', как тебе известно, до удивления тесен, так что его фигура теперь - как бы наглядный урок, предостережение всем остальным.
아프리 카 원주민 부락 입구에 해골이 걸려 있는 것과 비슷하거든.'	Знаешь, как у африканских аборигенов - белые кости при входе в деревню...
그렇겠군' 하고 나는 대꾸했다.	- Да уж, - хмыкнул я.
	- Впрочем, кое-что из довоенной биографии этого типа мне все-таки известно.
그러나 전진 전의 그의 약력에 대해서는 어느 정도 알고 있어.	Родился в 1913-м на Хоккайдо.
1913년에 홋 카이도에서 태어나 국민 학교를 졸업하고 도쿄로 나와 이 직업 저 직업 전전하 다가 우익이 됐지.	Закончил школу - перебрался в Токио; скакал с работы на работу, пока не прибился к правым.
딱 한 번 형무소에 들어갔지, 아마.	Кажется, всего однажды - но все-таки угодил тогда за решетку.
	Отсидел - подался в Маньчжурию, где спелся с офицерами Квантунской армии и создал какую-то организацию диверсионного толка.
형무소에서 나와 만주 로 갔고 그 곳에서 관동군의 참모들과 친해져서 특수 공작 관계 조직을 만들었 지.	Чем занималась эта организация, я уже толком не знаю.
그 조직의 내용까지는 잘 몰라. 그는 그 무렵부터 갑자기 수수께끼 같은 인물이 되지 시작한거야.	Именно с тех пор он неожиданно становится человеком-загадкой.
마약을 취 급했었다는 소문이 있는데, 아마 그 말이 맞을 거야.	Поговаривали, что он наркоман; да, видимо, так и было...
	Погулял, порезвился по Китайской равнине - и ровно за две недели до прихода советских войск благополучно, на большом эскадренном миноносце эвакуировался на родную землю.
그리고 중국 대륙 여기저 기를 돌아다니다가 소련이 참전하기 2주일 전에 구축함을 타고 귀국했어.	Вместе с кучей трофейного золотишка, понятное дело...
혼자 들지도 못할 정도의 귀금속과 함께 말이야.' '뭐라고 할까.	- М-да, просто поразительно вовремя!
절묘한 타이밍이군.' '실제로 그 사람은 타이밍을 포착하는 데는 명수지.	- В том-то и дело: этот тип всегда умел очень талантливо рассчитывать время.
쳐들어갈 때와 물러날 때 를 알 고 있는 거야. 그리고 착안점이 좋아.	Когда лучше закидывать невод, когда - тащить...
점령군도 A급 전쟁 범죄자로 체 포는 했지만, 조사는 도중에서 중단되고 불기소 됐어.	И, кроме того, всегда как-то заранее чувствовал, в какую именно точку следует бить.
	Когда верхушку оккупационной армии арестовали за военные преступления категории 'А', расследование по его делу прервали на полдороге, а само дело просто-напросто закрыли.
이유는 병 때문인데, 그 대목은 모호하기 짝이 없지. 아마 미군과 거래가 있었을 거야.	Причины - сперва 'по болезни', а потом все вообще окутано мраком и схоронено на века.
맥아더는 중국 대륙을 노리고 있었으니까.'	Скорее всего, имела место какая-то сделка с вояками США.
친구는 다시 볼펜을 집어 손가락 사이에서 빙글빙글 돌렸다.	Макартур ведь тоже очень облизывался на китайские просторы...
	Мой напарник снова вынул из карандашницы шариковую ручку и, зажав между средним и указательным пальцами, принялся вертеть ее туда-сюда.
	- Так вот, выбрался он из казематов Сугамо, вытащил на свет божий свои сокровища, которые прятал неизвестно где - и разделил их на две половины.
	На первую половину купил с потрохами одну из фракций в партии консерваторов; на вторую же - весь мир рекламы.
그리고 그는 스가모( ) 형무소에서 나오자, 어딘가에 숨겨둔 재물을 반으 로 나눠 절반으로는 보수당의 파벌을 통째로 매입하고 나머지 절반으로는 광고 업계를 매입했지.	Это еще в те времена, когда всей-то рекламы было ╜ афишки замызганные, да листовки на заборах...
아직은 광고업이라는 것이 광고지 정도로만 알려져 있던 시 대에 말이야.'	- М-да, дальновидный тип, ничего не скажешь...
선견지명이라 할 수 있군. 그런데 은닉 재산에 대한 배상 청구는 나오지 않 았나?'	А что, насчет его теневых капиталов так ни разу нигде ничего не всплыло?
무슨 소리야.	- Перестань.
보수당의 파벌을 하나 통째로 매입했다니까.'	Владелец целой фракции консерваторов!
아 참, 그렇겠군' 하고 나는 말했다.	- Да, действительно... - пробормотал я.
	- В общем, с помощью денег он зажал в одном кулаке и политиков, и рекламу; и этот его механизм прекрасно функционирует по сей день.
어쨌든 그는 그 돈으로 정당과 광고를 장악했고, 그 구조는 지금까지도 이어 지고 있지.	А на поверхность он не вылазит потому, что не видит в том ни малейшей нужды.
그가 표면에 나서지 않는 이유는 나설 필요가 없기 때문이야. 광고 계와 집권 정당의 중추를 장악하고 있으면, 그야말로 불가능한 일이 없거든.	Поскольку если в твоих руках и политика, и реклама, для тебя, строго говоря, нет ничего невозможного, так ведь?
광 고를 장악한다는 게 어떤 것인지 자네는 알겠나?' '아니.'	А ты вообще представляешь себе, что значит владеть всей рекламой? - Не очень...
	- Владеть всей рекламой - это значит держать за горло практически всю печать, телевидение и радио!
광고를 장악한다는 건 출판과 방송의 대부분을 장악한 게 되는 거야.	Ни одно издательство, ни единый канал в эфире просто не могут существовать без рекламы.
광고가 없는 곳에서는 출판과 방송이 존재할 수 없지.	Все равно что аквариум без воды.
	До девяноста пяти процентов всей информации, которую воспринимают твои глаза и уши каждый день, заранее отобраны по чьей-то воле и оплачены из чьего-то кармана!...
물이 없는 수족관과 같다고나 할까.	- Все равно пока непонятно, - упорствовал я.
자네가 보게 되는 정보의 95퍼센트까지가 이미 돈으로 매수되어서 선별 된 것이라구.' '아직 잘 모르겠어' 라고 나는 말했다.	- То, что этот тип прибрал к рукам всю массовую информацию - это я понял.
그 인물이 정보 산업을 장악하고 있다는 데까진 이해하겠는데 어떻게 그가 생명 보험 회사의 PR지에까지 권력을 행사할 수 있는 거지?	Но какую силу он имеет над рекламными издательствами страховых агентств?
그건 대형 대리점 을 통하지 않고 직접 맺은 계약이잖아.' 내 친구는 헛기침을 하고 나서 완전히 식어 버린 보리차를 마셨다.	Здесь же прямые контракты без участия крупных рекламопроизводителей, так или нет?
주식이야. 놈의 자금원은 주식이거든.	Мой напарник откашлялся и залпом допил остывший чай.
주식 조작, 매점매석, 탈취, 뭐 그런 거지.	- Акции.
그를 위한 정보를 그의 정보 기관이 수집하고, 그것을 그가 취사 선택하 는 거야.	Основной источник постоянного роста его капитала - это чьи-нибудь акции.
그중 매스컴에 흘러 나오는 것은 극히 일부고, 나머지는 선생께서 자 신을 위해서 쥐고 있는 거지.	Движение акций, перепродажа, скупка контрольных пакетов и тому подобное.
	Всю необходимую для этого информацию собирает его 'Особый отдел'; он же только выбирает, что ему нужно, что - нет.
	Естественно, из всего мощного потока данных лишь ничтожно малая часть отходит 'масс-коми' и публикуется 'для народа'.
	Все остальное Сэнсэй прибирает к своим рукам и, тщательно пересмотрев, скупает самые выгодные варианты.
물론 직접적으로는 아니지만 협박 비슷한 짓도 하지.	Не напрямую, разумеется, - шантажом всех мастей и оттенков.
협박이 통하지 않을 경우에 그 정보는 매치 펌프(역주:한편으로는 사건을 밝혀 내고 다른 한편으로는 수습을 제안하여 금품을 받는 방식)용으로 정치가에 게 흘리는 거야.'	Ну, а если шантаж не действует, то информация, как и положено в сообщающихся сосудах, перетекает в большую политику...
어느 회사든 약점 한두 가지쯤은 있다 이거군.'	- Что-то по принципу 'у всякой фирмы есть хоть одна маленькая слабость'?
어떤 회사든 주주 총회에서 폭탄 선언 같은 걸 듣는 건 원치 않거든.	- Еще проще: ни у какой фирмы нет желания услышать заявление-бомбу на собрании учредителей...
그러니 대개는 하라는 대로 하게 돼 있지.	В общем, я тебе все сказал.
다시 말해서 선생께서는 정치가와 정보 산 업과 주식이라는 삼위 일체 위에 군림하고 있는 셈이지.	Дух Сэнсэя царит над нами сразу в трех измерениях этого мира: в политике, в рекламе и в акциях.
이젠 이해하겠지만, PR지 하나쯤 뭉개 버린다든지 우리를 실업자로 만드는 일쯤은 그에겐 삶은 달 걀껍질 까기보다도 간단한 일이라구.'	Это ты, я надеюсь, себе уяснил.
	А раз так, то нетрудно представить, что раздавить рекламный журнальчик вроде нашего и выкинуть нас на улицу - для него еще проще, чем тебе почистить яйцо на завтрак!...
흐흠' 하고 나는 신음 소리를 냈다.	- Уф-ф-ф! - перевел я дыхание.
하지만 그만한 거물이 어째서 홋카이도의 풍경 사진 한 장에 신경을 곤두세 우는 거냐구.'	- Но все равно: за каким дьяволом такому большому дяде напрягаться из-за фотографий хоккайдосской природы?!
참 좋은 질문이야' 라고 했지만, 어투는 그다지 감동하지 않은 듯 무감각했다.	- А вот это - и в самом деле хороший вопрос! - парировал мой напарник.
바로 내가 자네에게 하려던 것과 똑같은 질문이야.'	- Я как раз собирался задать его тебе.
우리는 입을 다물었다.	Мы помолчали.
그런데 어떻게 양에 관한 이야기라는 걸 알았지?	- Как ты догадался, что разговор - про овец? ╬ спросил он.
어떻게 된거야?	- Откуда?
	Что, вообще, происходит такого, о чем я не знаю? - 'То карлик неведомый вертит Кармы веретено, наших судеб нити переплетая'...
내가 모르 는 데서 도대체 무슨 일이 일어나고 있는 거야?'	- Ты не мог бы выражаться яснее?
라고 친구가 내게 물었다.	- Шестое чувство.
구석에서 이름도 없는 난장이가 물레를 돌리고 있는 거지.'	- Ну-ну!... - вздохнул мой напарник.
좀더 알아듣기 쉽게 말해 줄 수 없겠나?' '내 육감이야.'	- В любом случае, вот тебе еще парочка свежих новостей.
	Я позвонил тому бывшему репортеру из ежемесячника, и он мне кое-что сообщил.
친구는 '맙소사' 라며 한숨을 내쉬었다. '그건 그렇고 최신 정보가 두 가지 있어.	Первое - это то, что Сэнсэя свалил инсульт, и на ноги он больше не встанет.
