4. 양을 세다	4.СЧИТАЯ ОВЕЦ
노송나무 가로수의 바깥쪽은 가지런히 손질한 잔디밭이었고, 언덕의 경사를 따라서 철쭉과 수국 외에도 이름 모를 식물들이 끝없이 흩어져 있었다.	Слева и справа тянулись рядами криптомерии и ртутные фонари - на одинаковом расстоянии друг от друга, длинные и острые, как заточенные карандаши.
찌르레 기 한 떼가 잔디 위를 흘러내리는 모래처럼 오른쪽에서 왼쪽으로 이동하고 있었 다.	Неспешно добрести до ворот можно было, наверно, минут за пятнадцать.
	Деревья осаждали полчища неистребимых сверчков, и воздух дрожал от скрежета, не оставлявшего ни малейших сомнений в том, что конец света уже начался.
	Трава под деревьями ближе к дорожке была аккуратно подстрижена, и с наклонных обочин на меня таращились рассаженные в беспорядке то ли азалии, то ли розалии, то ли еще какие-то рододендроны.
언덕의 양쪽에는 좁은 돌층계가 있었고, 오른쪽으로 내려가면 석등과 연못이 있는 일본식 정원이, 왼쪽으로 내려가면 작은 골프 코스가 있었다.	Стайка скворцов неторопливо переправлялась по газону справа налево, чудно шевелясь и волнуясь, как зыбучий песок.
	По склонам холма вниз к подножью спускались мраморные ступени: направо - к японскому саду с прудом и каменными светильниками, налево - к небольшому полю для гольфа.
	На одном краю поля виднелась беседка непередаваемой расцветки мороженого с изюмом, на другом - маячила каменная статуя какого-то типа из греческой мифологии.
	Позади статуи громоздился исполинских размеров гараж: у самого входа еще один водитель поливал водой из шланга еще один автомобиль.
골프 코스 옆에는 럼레이즌 아이스크림 같은 색깔의 휴식용 정자가 있었고, 그 너머에는 그리스 신화풍 석상이 있었다.	Марки машины я не разобрал, но в том, что это не подержанный 'фольксваген', сомневаться не приходилось.
석상 맞은편에는 거대한 차고가 있었는데 다른 운전사가 다른 차에 호스로 물을 뿌리고 있었다.	Скрестив руки на груди, я еще раз обвел взглядом окрестности.
차종까지는 알 수 없었지만, 중고 폴크스바겐이 아닌 것만은 확실했다.	Идеально, не к чему прицепиться...
나는 팔짱을 낀 채 다시 한 번 정원을 빙 둘러보았다.	Голова раскалывалась от боли.
흠잡을 데 없는 정원 이었지만, 약간 머리가 아팠다. '우편함은 어디에 있지요?'	- А где почтовый ящик? - спросил я на всякий случай.
하고 확인 삼아 물어 보았다. 아침 저녁으로 누가 문까지 신문을 가지러 가 는데 신경이 쓰였기 때문이다.	Интересно, кого они тут гоняют за почтой по утрам и вечерам.
우편함은 뒷문에 있습니다' 라고 운전사는 대답했다.	- Почтовый ящик - на задних воротах, - ответил водитель.
당연한 이야기였다. 물론 뒷문이 있었다.	Само собой, чего спрашивать.
나는 정원을 살펴보고 나서 우뚝 솟아 있는 건물을 올려다보기 위해 정면을 향했다. 그것은 뭐랄까, 매우 고독한 건물이었다.	Конечно, должны быть и задние ворота Я перестал озираться, посмотрел прямо перед собой и уперся взглядом в огромных размеров дом.
예를 들어 거기에는 하나의 개념이 있다. 그리고 거기에는 물론 약간의 예외가 있다.	То было - как лучше сказать? - просто пугающе одинокое здание.
그러나 시간이 지남에 따라 서 그 예외가 얼룩처럼 번져 마침내는 하나의 다른 개념이 되고 만다.	Скажем так: жило-было на свете Одно Общепринятое Утверждение.
그리고 거기에 다시 약간의 예외가 생긴다-한마디로 말하면 그런 느낌의 건물이었다.	И были у него, как водится, свои маленькие исключения.
	Но годы шли, исключения росли, расползались безобразными пятнами по телу родителя - и спустя какое-то время превратили и его, и себя уже в Абсолютно Другое, чуть ли даже не в Совершенно Обратное Утверждение.
목적지를 모르는 채 아무렇게나 진화한 고대 생물처럼도 보였다. 우선 처음에는 메이지(明治)풍의 양옥 구조인 것 같았다.	Тоже, разумеется, со своими маленькими исключениями...
천장이 높은 고전적 인 현관과 그것을 감싸고 있는 2층짜리 크림색 건물이었다.	Черт его знает, как еще лучше выразиться.
창은 긴 이중창이 었는데 페인트는 몇 번이나 칠한 것 같아 보였다.	Но именно так и выглядело это здание.
	Сильнее всего оно смахивало на доисторическую рептилию, чье тело в результате беспорядочных мутаций - зигзагов слепой эволюции - развилось до ненормальных, ей самой мешавших размеров.
지붕은 물론 구리판으로 이 어져 있었고, 홈통은 로마의 상수도처럼 견고했다. 건물이 그다지 나쁘지 않았 다.	По первоначальному плану здесь, видимо, имелся в виду европейский стиль периода Мэйдзи.
확실히 옛날 좋았던 시절의 기품 같은 것이 느껴졌다. 그런데 그 안채의 오른편에 어떤 익살맞은 건축가가 거기에 맞출 요량으로 같 은 경향과 같은 계열의 색으로 된 별채를 붙여 놓았다.	Над высокой классической аркой парадного хода громоздилось двухэтажное строение в кремовых тонах.
의도한 바는 나쁘지 않 았지만, 그 두 채는 도무지 어울리지 않았다.	Старомодные узкие окна с двойными рамами.
마치 은 접시에 셔벗과 보로콜리 를 함께 담아 놓은것 같은 느낌이었다.	Стены много раз перекрашивали.
	Крыша, как полагается, была покрыта листовой медью, а водостоки проложены с хитроумием и основательностью строителей римского водопровода.
몇십 년이라는 세월이 그렇게 아무 변 화 없이 흘렀고, 그 곁에 석조 탑 같은 것이 보태졌다.	В общем, что касается самого дома, он был вовсе не так и плох.
그리고 탑의 꼭대기에는 장식적인 피뢰침이 설치되어 있었다. 그것이 잘못의 원인이었다.	Что ни говори, в нем ощущалось какое-то утонченное благородство старого доброго времени.
	Но уже справа от главного здания какому-то другому весельчаку-архитектору взбрело в голову пристроить еще два крыла ╜ поменьше, но, по возможности, в том же стиле и той же расцветки.
벼락을 맞아 타버렸어야 했다. 장중한 두 건물은 통해 이어져 있었고 그것은 또다시 일직선으로 별관으로 이어졌다.	Задумка сама по себе неплохая, но результат оказался плачевным: пристройки эти ни по цвету, ни по духу с главным зданием не совпадали.
그 별관이라는 것이 또 기묘한 건물이었는데, 적어도 거기에선 일관 된 테마를 느낄 수 있었다. '사상의 상반성'이라고 할 만한 것이다.	Впечатление было такое, как если бы кто-то додумался смешать шербет со спаржей и подать эту несуразицу к столу на красивом серебряном блюде.
	В таком виде сей абсурд простоял, вероятно, не один десяток лет, после чего с самого боку к нему прилепили еще и башенку-флигель из серого камня.
한 마리의 당나귀가 좌우에 같은 양의 꼴을 놓고 어느 쪽부터 먹어야 할 지 결정하지 못한 채 굶어 죽어 가는, 그런 종류의 비애가 그 건물에는 감돌고 있었다.	При этом на верхушку флигеля насадили металлический шпиль декоративного громоотвода.
안채 왼편에는 그와 대조적으로 다이라(平) 가문이 권세를 휘두르던 시대(역 주:일본의 중세 시대에 해당)의 일본식 가옥이 길게 뻗어 있었다.	Явный ляпсус: первая же молния, попади она в эту штуку, спалила бы все здание с потрохами.
울타리와 잘 손질된 소나무가 있었으며, 고급스런 복도가 볼링장의 레인처럼 쭉 뻗어 있었다.	Крытый переход вел из флигеля к еще одному строению.
	Как и все предыдущее, этот суррогат архитектуры был также отмечен печатью Абсурда, но здесь, по крайней мере, ощущалась некая тематическая завершенность.
	Назовем это 'идейным самосопротивлением': именно такой вид мировой скорби глодал душу осла, который, стоя меж двух одинаковых стогов сена, никак не мог выбрать, с какого начать - да так и сдох с голодухи.
	Слева же от главного здания ╜ резким контрастом ко всему, что я видел справа, ╜ тянулись стены одноэтажного японского особняка.
	С живой изгородью, заботливо ухоженными сосенками и великолепными верандами, прямыми и длинными - хоть устраивай кегельбан.
어쨌든 그만한 건물이 예고편이 있는 동시 상영 영화 세 편처럼 언덕 위에 펼 쳐진 풍경은 꽤 볼 만했다.	Как бы то ни было, весь пейзаж смотрелся с холма точно странный фильм из трех разных частей вперемежку с рекламой.
	И если предположить, что фильм этот снимали продуманно, в течение многих лет, с осознанной целью: сгонять со зрителя сонливость и хмель, - то я бы сказал, расчет режиссера полностью оправдался.
만약에 그것이 누군가의 취가와 졸음을 떨쳐 버리 기 위해 오랜 세월에 걸쳐서 설계된 것이었다면, 그 의도는 제대로 들어맞았다 고 볼 수 있다.	Хотя, конечно, никакого особого умысла здесь быть не могло.
그러나 물론 그럴 리는 없었다. 다양한 시대가 낳은 다양한 이 류의 재능이 막대한 돈과 결부되어야 이런 풍경 만들어지는 것이다.	Просто вот так и бывает, когда кучку посредственностей, рожденных в разных эпохах, связывает один капитал.
나는 꽤 오랫동안 정원과 저택을 바라보고 있었음에 틀림없다.	Изучение усадьбы и ее окрестностей отняло у меня куда больше времени, чем я ожидал.
	Не успел я подумать об этом, как заметил, что все это время водитель простоял рядом со мной, уставившись в часы на руке.
불현듯 정신 을 차렸을 때에는 운전사가 바로 내 곁에 서서 손목 시계를 들여다보고 있었다. 어딘지 모르게 익숙한 동작이었다.	При этом в позе его чувствовалось что-то чересчур отшлифованное.
	Можно было подумать, что каждый гость, которого он доставлял сюда, выходил из машины точнехонько в том же месте, где вышел я, точно так же остолбеневал и с таким же ошарашенным видом разглядывал этот странный пейзаж.
아마도 그가 데리고 온 모든 손님이 나와 똑같은 장소에 오랫동안 서서, 똑같이 멍하니 주위의 풍경을 바라본 모양이었다.	- Если хотите еще посмотреть - пожалуйста, можно не торопиться, - промолвил водитель.
둘러보실려면 천천히 보십시오.	- Есть целых восемь минут.
아직 8분 가량 여유가 있으니까요' 라고 그는 말했다.	- Просторное местечко!... - сказал я.
굉장히 넓군요' 라고 나는 말했다. 그 이외에 적당한 표현이 떠오르지 않았던 것이다. '3,250평이 됩니다' 라고 운전사가 대꾸했다.	Ничего более подходящего мне в голову не пришло. - Три тысячи двести пятьдесят цубо, - сообщил водитель.
활화산이라도 있으면 어울리겠군' 하고 나는 농담을 해보았다.	- А действующего вулкана у вас тут случайно нет? - попытался я пошутить.
그러나 물론 농담은 통하지 않았다.	Шутка, разумеется, повисла в воздухе.
여기서는 아무도 농담 따위를 하지 않는 것이다. 그런 식으로 8분이 지나갔다.	В этом месте никто никогда не шутил.
내가 안내된 곳은 현관 바로 오른편에 있는 다다미 여덟 장 정도 크기의 서양 식 방이었다.	Так прошло еще восемь минут.
천장은 굉장히 높고, 벽과 천장이 맞닿는 경계선에는 빙 둘러 조 작이 되어 있었다.	От парадного входа меня провели направо в небольшой, метра три на четыре, кабинет в европейском стиле.
세월을 느끼게 하는 차분한 분위기의 소파와 탁자가 놓여 있고, 벽에는 리얼리즘의 극치라고 할 만한 정물화가 걸려 있었다.	До головокружения высокий потолок; между стенами и потолком бежала замысловатая фигурная лепка.
	Из мебели в комнате стояли антикварного вида стол и пара диванов, а на стене висел натюрморт, демонстрировавший, до чего способен дойти реализм в своем апогее.
사과와 화병과 페이퍼 나이프, 화병으로 사과를 쪼개고 나서 페이퍼 나이프로 껍질을 벗기는지도 모른다.	Яблоки, цветочная ваза и нож для разрезанья бумаги.
씨와 속은 화병에 넣어 두면 된다. 창에는 두꺼운 천으로 된 커튼과 레이스 커튼이 이중으로 쳐져 있었고, 둘 다 같은 색의 끈으 로 걷어 올려져 있었다.	Видимо, предполагалось раскалывать яблоки вазой, а после ножом для бумаги обдирать кожуру.
커튼 사이로 비교적 괜찮은 부분의 정원이 보였다.	Огрызки и семечки - выбрасывать в ту же вазу.
졸 참나무 바닥인 마룻바닥은 알맞은 빛깔로 윤이 났다. 바닥의 절반을 차지하는 카펫은 낡은 색조에도 불구하고 털은 아주 튼튼했다.	Полураспахнутые занавески из толстой ткани и тюль по обеим сторонам окна аккуратно подобраны и подвязаны шнурками.
나쁘지 않은 방이었다. 정말 나쁘지 않았다.	В окне между ними виднелся вполне симпатичный уголок японского сада.
기모노를 입은 나이 지긋한 가정부가 방으로 들어와 아무 말없이 탁자 위에 포도 주스 잔을 하나 놓고 나갔다.	Натертый дубовый паркет переливался бликами самых приятных оттенков.
	Половину комнаты занимал роскошный ковер, и хотя цвета его заметно поблекли от времени, длина ворса осталась такой, будто на него никогда не ступала нога человека.
그녀의 뒤에서 문이 찰카닥 하고 닫혔다.	Неплохая комната.
그리고 모든 것이 잠잠해졌다.	Совсем неплохая.
테이블 위에는 차 안에서 본 것과 똑같은 은제 라이터와 담배 케이스와 재떨 이가 놓여 있었다.	Вошла средних лет горничная в кимоно, поставила на стол бокал с грейпфрутовым соком и удалилась, не промолвив ни слова.
그리고 그 하나하나에 전에 본것과 똑같은 양의 문장이 새 겨져 있었다.	Дверь тихонько защелкнулась у нее за спиной, и воцарилась мертвая тишина.
나는 호주머니에서 내 필터 담배를 꺼내 은제 라이터로 불을 붙 인 후에 높은 천장을 향해서 연기를 뿜어 냈다.	На столе я увидел серебряный набор: сигаретница, пепельница, зажигалка.
그리고 포도 주스를 마셨다.	Точь-в-точь как в машине.
10분 후에 다시 한 번 문이 열리고 검은 양복을 입은 키 큰 남자가 들어왔다.	На каждом из предметов красовался все тот же овечий герб...
	Я достал из кармана свои сигареты с фильтром, прикурил от серебряной зажигалки, затянулся, выпустил в высокий потолок длинную струю дыма.
남자는 '잘 오셨습니다' 라고도 '오래 기다리셨습니다' 라고도 하지 않았다.	И принялся за грейпфрутовый сок.
	Десять минут спустя дверь снова отворилась, и в комнату вошел высокого роста мужчина в черном костюме.
	Ни 'добро пожаловать', ни 'извините - заставил ждать', ни чего-либо другого он не сказал.
나도 아무 말 하지 않았다.	Я тоже молчал.
	Он сел на диван напротив и, чуть склонив голову набок, принялся разглядывать меня с видом человека, определяющего цену товара на глаз.
남자는 말없이 내 맞은편에 앉아 고개를 약간 갸웃거리며 내 얼굴을 품평이라도 하듯이 한동안 바라보았다.	Мой напарник был прав: выражение на этом лице отсутствовало напрочь.
확실히 내 친구가 말했던 것처럼 남자에게는 표정이라는 것이 없었다.	Так прошло еще какое-то время.
한동안 시간이 흘렀다.	
