“有什么事，坐下说，二妹妹！	1 - Что случилось?
在外面，他比子孙娘娘还温和；回到家，从什么地方来的怒气全冲着我发散！”	От судьбы не уйдешь! - Госпожа Чжан печально улыбнулась: пессимизм сменился покорностью.
她叹了一口长气。	А вам и в самом деле нелегко, госпожа Чжан.
“可是呀，这又说回来啦，谁叫咱们是女人呢；女人天生的倒霉就结了！	Я часто говорю, таких людей, как вы, раз, два - и обчелся.
	За что ни возьметесь - постирать ли, приготовить ли, сбегать за покупками - все горит в руках.
好处全是男人的，坏处全是咱们当老娘们的，认命！”	Госпожа Чжан кивала, и от души как будто отлегло.
由悲观改为听其自然，张大嫂惨然一笑。	А гостя продолжала:
	Если бы я хоть чуть-чуть походила на вас, то считала бы себя самой счастливой.
“您可真是不容易，大嫂子。	Ну зачем вы так говорите!
我就常说：像您这样的人真算少有，说洗就洗，说作就作，买东道西，什么全成——”张大嫂点了点头，心中似乎痛快了些。	Вы хорошо справляетесь с хозяйством! - Госпожа Чжан не могла не похвалить гостью. - А сколько муж зарабатывает? - Точно не знаю.
二妹妹接着说，“我多咱要能赶上您一半儿，也就好了！”	Друзья и родственники редко платят, вместо этого дарят по праздникам чай.
“二妹妹，别这么说，您那点家事也不是个二五眼能了得了的。”	Чаю у нас больше, чем муки, но одним чаем не проживешь!
张大嫂觉得非这么夸奖二妹妹不可了。	Не надо было ему становиться врачом!
“二兄弟一月也抓几十块呀？”	Лечит-лечит и не знает: заплатят или нет.
“哪摸准儿去！	А стоило ошибиться, сразу упекли!
亲友大半是不给钱，到节啦年啦的送点茶叶什么的；家里时常的茶叶比白面多，可是光喝不吃还不行！	Ни минуты спокойной нет, иногда умереть хочется.
干什么也别当大夫：看好了病，不定给钱不给；看错了，得，砸匾！	Смотрю, невесты и молодые женщины слоняются с утра до вечера, иглы в руки не возьмут, нитки не вденут, наряжаются - и все.
我一天到晚提心吊胆，有时候真觉着活着和死了都不大吃劲！”	Это верно! - поддакнула госпожа Чжан. - Но слоняются они днем, а ночью их колотят!
二妹妹也叹了口长气。	Лучше вообще не
“我就是看着人家新面上的姑娘小媳妇们还有点意思，一天到晚，走走逛逛，针也不拿，线也不动，打扮得花枝招展的！”	выходить замуж… - А с какой завистью перезрелые девицы смотрят на
“哼！”	паланкин!
张大嫂接过去了，“白天走走逛逛，夜里挨揍的有的是！	О! - хором воскликнули женщины и умолкли.
	Гостья погрела руки у печки и спросила:
妇女就是不嫁人好——”	Тяньчжэнь еще не помолвлен?
	Этот старый черт, - госпожа Чжан бросила взгляд на кабинет, - с утра до вечера устраивает чужое счастье, а до родных детей ему дела нет!
	И не говорите, в наши времена с грамотными детьми нелегко, не то что с нами, глупыми.
二妹妹又接过来：“老姑娘可又看着花轿眼馋呢！”	Просто не верится, что отца не интересуют дети!
	Просто не верится! - снова распалилась госпожа Чжан. - Ты видела, наверное, старшую дочку из дома Ци, они живут на улице Великой простоты.
	И собой она ничего, и руки золотые, и грамотная, по улицам без дела не мотается.
“哎！” 两位妇人同声一叹。	Сказала я ему как-то о ней.
一时难以继续讨论。	Куда там!
二妹妹在炉上烤了烤手。	Слушать не хочет.
待了半天，二妹妹打破寂默，“大嫂子，天真还没定亲事哪？”	Чего только не наговорил: и торговцы они, и девушка вся в. веснушках.
“那个老东西，”张大嫂的头向书房那边一歪，“一天到晚给别人家的儿女张罗亲事，可就是不管自己的儿女！”	А где ты видела девушку без веснушек? Положи побольше пудры, и нет веснушек, разве не так?
“也别说，读书识字的小人们也确是难管，这个年头。	Мне ведь нужно, чтобы сноха была человеком.
哪都像咱们这么傻老呢。”	Подумаешь, веснушки!
“我就不信一个作父亲的管不了儿子，我就不信！”	Иностранки и те с веснушками!
张大嫂确是挂了气。	Я свое, он свое.
“二妹妹你大概也看见过，太仆寺街齐家的大姑娘，模样是模样，活计是活计，又识文断字，又不疯野，我一跟他说，喝！	А теперь она вышла замуж за полковника. С утра до вечера катается на автомобиле, и веснушки, оказывается, не мешают.
他的话可多了！ 又是什么人家是作买卖的咧，又是姑娘脸上雀斑多咧！	Пока госпожа Чжан набирала воздух для новой тирады, гостья сказала:
	У меня веснушек не так уж много, а однажды я чуть было не попала под машину…
哪个姑娘脸上没雀斑呀？	Вот и прозевали из-за него хорошую девушку.
	Потом он нашел девицу из дома Ван, ну, эта отчаянная, целыми днями торчит в торговых рядах «Восточное спокойствие» [[12]: #_ednref12 Торговые ряды «Восточное спокойствие» ~ крытый рынок.
	При маньчжурах здесь был военный плац, цо в 1903 г. сюда согнали многих торговцев с окраины, где строилась дорога на восток.], завитая как баран, летом для фасона чулок не носит.
擦厚着点粉不就全盖上了吗？	Я как услышала, так на дыбы.
我娶儿媳妇要的是人，谁管雀斑呢！	Слов не стала тратить.
外国洋妞脸上也不能一顺儿白！	Не надо, и все!
我提一回，他驳一回；现在，人家嫁了个团长，成天呜呜的坐着汽车；有雀斑敢情要坐汽车也一样的坐呀！”	Не пущу я в дом эту расфуфыренную вертихвостку!
二妹妹乘着大嫂子喘气，补上一句：“我脸上雀斑倒少呢，那天差点儿叫汽车给轧在底下！”	Не могу! Как только он меня не уговаривал.
“齐家这个让他给耽误了，又提了家姓王的，姑娘疯得厉害，听说一天到晚钉在东安市场，头发烫得像卷毛鸡，夏天讲究不穿袜子。	И богатые они, и с положением, и после окончания Тяньчжэню не надо будет беспокоиться о месте.
我一听，不用费话，不要！ 我不能往家里娶卷毛鸡，不能！	К счастью, вернулся Тяньчжэнь, поговорили они с отцом, и после этого больше ни гугу.
您大哥的话又多了，说人家有钱有势，定下这门子亲，天真毕业后不愁没事情作。	Что же сказал Тяньчжэнь? - полюбопытствовала гостья. - Глупость сказал!
可是，及至天真回来和爸爸说了三言五语，这回事又干铲儿不提啦。”	До окончания, говорит, и слышать не хочу ни о какой свадьбе.
“天真说什么来着呢？” 二妹妹问。	А надумаю жениться, обойдусь без отца.
“敞开儿是糊涂话，他说，非毕业后不定婚，又是什么要定婚也不必父亲分心——”	Свободный брак! - сразу смекнула гостья.
“自由婚！”	Именно!
二妹妹似乎比大嫂更能扼要的形容。	Свобода, во всем свобода.
“就是，自由，什么都自由，就是作妈妈的不自由：一天到晚，一年到头，老作饭，老洗衣裳，老擦桌椅板凳！	Одна только мать не свободна: с утра до ночи готовь, стирай, вытирай!
那个老东西，听了儿子的，一声也可没出，叭唧叭唧的咂他的烟袋；好像他是吃着儿子，不是儿子吃着爸爸。	А этот старый черт слова не скажет сыну, знай попыхивает своей трубкой, будто не он сына кормит, а сын его.
我可气了，可不是说我愿意要那个卷毛鸡；我气的是儿子老自由，妈妈永远使不上儿媳妇。	Даже зло берет. Не потому, конечно, что сын отказался от этой вертихвостки, а потому, что он делает все, что хочет, видно, матери так и не дождаться невестки в доме.
好啦，我什么也没说，站起来就回了娘家；心里说，你们自由哇，我老太太也休息几天去！	Я тогда ничего не сказала, ушла к своим, а про себя решила: вы пользуетесь свободой, ну и я отдохну хоть несколько дней!
饭没人作呀，活该！	Некому будет готовить?
	Пусть! Последнее слово госпожа Чжан произнесла с таким запалом, что даже пучок на голове у нее подпрыгнул.
“张大嫂一”活该“，差点儿把头后的小髻给震散了。	Правильно сделали, что проучили их, - поддакнула гостья.
“是得给他们一手儿看看！”	Но госпожа Чжан грустно рассмеялась:
二妹妹十二分表同情。	Решить-то я решила, а у своих пробыла всего полдня.
可是，张大嫂又惨笑了一下，“虽然这么说不是，我只走了半天，到底舍不得这个破家：又怕火灭了，又怕丁二爷费了劈柴，唉！	Не могу расстаться с этим паршивым домом: то мне казалось, будто огонь в очаге погас, то будто Дин Второй извел много топлива.
	Свой дом все равно что сын, хоть и плох, а не бросишь.
自己的家就像自己的儿子，怎么不好也舍不的，一天也舍不的，我没那个狠心。	Дня не могу без них прожить, я ведь не бесчувственная.
再说，老姑奶奶了，回娘家也不受人欢迎！”	Да и родственники не очень-то привечают!
“到如今婚事还是没定？”	Значит, так ничего и не решили с помолвкой?
张大嫂摇摇头，摇出无限的伤心。	Госпожа Чжан покачала головой, выражая этим свое
	крайнее огорчение.
“秀真呢？”	А как Сючжэнь?
“那个丫头片子，比谁也坏！	Эта красотка луже всех!
入了高中了，哭天喊地非搬到学校住不可。	Поступила в среднюю школу, расшумелась, разревелась.
脑袋上也烫得卷毛鸡似的！	Хочу жить при школе, и все!
可是，那个小旁影，唉，真好看！	Тоже кудри завила, ну прямо барашек!
小苹果脸，上面蓬蓬着黑头发；也别说，新打扮要是长得俊，也好看。	Но до чего хороша! Личико румяное, как спелое яблоко, прическа пышная, одета хорошо, глаз не отведешь.
你大哥不管她，我如何管得了。	Дагэ и в ус не дует, а я вся извелась.
按说十八九的姑娘了，也该提人家了，可是你大哥不肯撒手。	Сючжэнь скоро девятнадцать; пора думать о семье.
自然哪，谁的鲜花似的女儿谁不爱，可是——唉！	Девушка хорошенькая, свеженькая, как цветочек!
不用说了；我手心里老攥着把凉汗！	Недолго и до беды. Что говорить!
多咱她一回来，我才放心，一块石头落了地。	Сердце ноет, как подумаю.
可是，只要一回来，不是买丝袜子，就是闹皮鞋；一个驳回，立刻眉毛挑起一尺多高！	Только и успокаиваюсь, когда она домой приезжает.
一说生儿养女，把老心使碎了，他们一点也不知情！ “	А приедет, сразу начинает просить то шелковые чулки, то туфли.
“可是，不为儿女，咱们奔的是什么呢？”	Откажешь - надуется.
二妹说了极圣明的话。 “唉！”	Разве дети понимают наши страдания?
张大嫂又叹了口气，似乎是悲伤，又似乎是得了些安慰。	Ради детей и живем, - торжественно заявила гостья.
话转了方向，张大嫂开始盘问二妹妹了。	О! - только и смогла вымолвить госпожа Чжан, но на душе у нее стало легче.
“妹妹，还没有喜哪！”	Она даже вернулась к расспросам:
二妹妹迎头叹了口气……	А как насчет потомства?
眼圈红了……	Пока не ждешь?
	Гостья вздохнула и, не отвечая на вопрос, едва сдерживая слезы, сказала на прощание:
二妹妹含着泪走了，“大嫂，千万求大哥多分点心！”	Так вы уж попросите мужа, пусть похлопочет.
四 回到公寓，老李连大衣也没脱便躺在床上，枕着双手，向天花板发楞。	4 Возвратившись в гостиницу, Лао Ли, как был в пальто, бросился на постель.
诗意也罢，实际也罢，他被张大哥打败。	Положив руки под голову, он лежал и смотрел в потолок.
被战败的原因，不在思想上，也不在口才上，而是在他自己不准知道自己，这叫他觉着自己没有任何的价值与分量！	Мечты о поэзии, о жизни рассыпались прахом после визита к Чжан Дагэ.
他应当是个哲学家，应当是个革命家，可是恍忽不定；他不应当是个小官，不应当是老老实实的家长，可是恍忽不定。	И не потому, что Чжан был сильнее его в философии или в ораторском искусстве, просто Лао Ли самого себя не знал и потому недооценивал.
	Его то и дело одолевали сомнения: он мечтал стать революционером, философом, но сделать хоть шаг по этому пути не хватило смелости, наконец, он решил остаться чиновником, честным главою семьи, но опять не был уверен, правильно ли поступает. В конце концов… О!
到底——呕，没有到底，一切恍忽不定！	Нет никакого конца, сплошные колебания.
把她接来？ 要命！	Привезти жену?
那双脚，那一对红裤子绿祆的小孩！	За каким чертом!
这似乎不是最要紧的问题；可是只有这么想还比较的具体一些，心里觉得难受，而难受又没有一定的因由。	Ему противны ее изуродованные ноги, красные штанишки и зеленые курточки на детях!
他不敢再去捉弄那漫无边际的理想，理想使他难受得渺茫，像个随时变化而永远阴惨的梦。	В сущности, все это пустяки, и лучше о них не думать, а то становится еще тяжелее.
离婚是不可能的，他告诉自己。	Почему? - он и сам не знает.
父母不容易，怎肯去伤老人们的心。	Он не может больше гоняться за иллюзиями.
	Они вносят такую же сумятицу в душу, как неизменно повторяющийся дурной сон.
	Развод невозможен.
可是，天下哪有完全不自私的愉快呢，除非世界完全改了样子？	Нелегко будет уговорить родителей, да и зачем огорчать стариков!
小资产阶级的伦理观念，和世上乐园的实现，相距着多少世纪？	Но то, что радует одного, всегда огорчает другого.
老李，他自己审问自己，你在哪儿站着呢？ 恍忽！	Так было и будет до тех пор, пока мир не переменится.
脚并不是她自己裹的，绿裤子也不是她发明的，不怨她，一点也不怨她！	Моральные принципы буржуазии и рай на земле - несовместимы.
可是，难道怨我？	Чего же я хочу? - спрашивал себя Лао Ли.
可怜她好，还是自怜好？	Но ответить не мог
哼，情感似乎不应当在理智的伞下走，遮去那温暖的阳光。	Не виновата же она в том, что ей изуродовали ноги, и красные штанишки не она придумала.
恍忽！ 没有办法。	А я чем виноват?
我在城里忍着，她在乡间忍着，眼不见心不烦，只有这一条不是办法的办法；可是，到底还不是办法！	Кого жалеть, ее или себя? Не надо прятать чувства под зонтиком разума; зонтик не пропускает солнечных лучей, и наступает мрак!
管它呢，能耗一天便耗一天，老婆到底不是张大哥的！	Никакого выхода! Я мучаюсь в городе, она - в деревне.
拿起本书来，看了半天，不晓得看的是哪本。	Есть только один, хотя и скверный выход: с глаз долой - из сердца вон.
去洗个澡？	Но выход ли это?
买点水果？	Ладно!
借《大公报》看看？	Повременю немного.
始终没动，再看书，书上的字恍忽，意思渺茫。	Она ведь жена не Чжан Дагэ, а моя!
	Лао Ли взял книгу, попытался сосредоточиться, но не мог.
焉知她不能改造？	Умыться, что ли?
为何太没有勇气？ 没法改造！	Или пойти купить фруктов?
要是能改造，早把我自己改造了！	Может, почитать газету?
前面一堵墙，推开它，那面是荒山野水，可是雄伟辽阔。	Он так и не двинулся с места и снова принялся за книгу.
不敢去推，恐怕那未经人吸过的空气有毒！	Иероглифы по-прежнему расплывались перед глазами.
后面一堵墙，推开它，那面是床帷桌椅，炉火茶烟。	Кто сказал, что она неисправима?
不敢去推，恐怕那污浊的空气有毒！	Почему во мне нет ни капли смелости?
站在这儿吧，两墙之间站着个梦里的人！	Но ты не сделаешь ее другой.
二号房里来了客人，说笑得非常热闹，老李惊醒过来，听着人家说笑，觉得自己寂寞。	Ты самого себя не в состоянии перевоспитать!
小孩们的教育？	Перед тобой стена.
应当替社会养起些体面的孩子来！	Свали ее - за ней простор, дикий, бескрайний.
他要摸摸那四只小手，四只胖，软，热，有些香蕉糖味的小手。	Но ты не рискнешь сделать это, побоишься отравить себя воздухом неизвестности.
手背上有些小肉窝，小指甲向上翻翻着。	Позади тоже стена.
	За ней - постель с пологом, столы и стулья, теплая печь, аромат чая.
	И эту стену ты тоже не перешагнешь, побоишься задохнуться в спертом воздухе.
就是走桃花运，肥猪送上门来，我也舍不得那两个孩子！	Так и будешь стоять между двух стен, пустой мечтатель!
老李告诉他自己。 她？	В соседний номер пришли гости.
老李闭上了眼。	Шумели, смеялись.
	Это вывело Лао Ли из раздумий, и он еще сильнее ощутил одиночество.
她似乎只是孩子的妈。	Воспитать детей?
她怎样笑？ 想不起。	Да, обществу нужны хорошие люди.
	Ему снова захотелось потрогать ручонки своих малышей, мягкие, теплые, пухленькие, с ямочками, с маленькими ноготками.
她会作饭，受累…… 二号似乎还有个女子的声音。	Ручки, которые пахнут сластями и бананами.
	Пусть я полюблю, пусть снова женюсь, детей все равно не оставлю!
鼓掌了；一男一女合唱起来。	Жена - всего лишь мать его детей.
	Лао Ли закрыл глаза, пытаясь представить себе, как она улыбается, но не смог.
自己的妻子呢，只会赶小鸡，叫猪，和大声吓喝孩子。	Она умеет стряпать, умеет переносить лишения.
	Из соседней комнаты донесся женский голос, раздались аплодисменты, потом запели мужчина и женщина.
还会撒村骂街呢！	А его жена?
非自己担起教育儿女的责任不可，不然对不起孩子们。	Она только и может ходить за курами, свиньями да бранить детей.
还不能只接小孩，不接大人？	Еще может ругаться с соседями.
越想越没有头绪。 “这是生命呢？	Придется самому воспитывать детей.
还是向生命致歉来了呢？” 他问自己。	Не то он окажется недостойным отцом.
他的每一思念，每一行为，都带着注脚：不要落伍！	Но нельзя же привезти детей одних, без матери.
可是同时他又要问：这是否正当？	Лао Ли окончательно запутался.
拿什么作正当与不正当的标准？	Нет, это не жизнь - жалкое существование.
还不是“诗云”“子曰”？	Где же справедливость?
他的行为——合乎良心的——必须向新思想道歉。	В чем истина?
	Разве не в известных изречениях: «Стихи гласят…» и «Мудрец сказал…»? [[13]: #_ednref13 «Стихи гласят…», «Мудрец сказал…» - традиционная фраза, предшествующая цитатам из канонических конфуцианских книг»] За свои поступки он, как человек честный, должен быть в ответе перед новыми идеями, а его идеи, созвучные эпохе, в ответе только перед самим дьяволом.
他的思想——合乎时代的——必须向那个鬼影儿道歉。	Жизнь его изуродована, как ноги жены.
生命是个两截的，正像他妻子那双改组脚。	Идти дальше в своих рассуждениях Лао Ли не смел.
老李不敢再想了；张大哥是圣人。	Чжан Дагэ мудрый!
张大哥的生命是个整的。	Он, по крайней мере, знает что хочет.
