爸觉得不大安坦，为什么应当问爸呢，孩子难道不是咱们俩的？	Не будет его, Пекин проглотит и ее и детей.
可是，这样的妇人必定真以我为丈夫，主人。 老李不敢决定一切，只感觉着夫妇之间隔着些什么东西。	Непременно надо что-то сказать ему, ну хотя бы, что ради них он целый день трудится, зарабатывает деньги, только она не знала, с чего начать. - Мам!
算了吧，让脑子休息会儿吧：“不用了，英；先吃饭，吃完再去。”	Можно я покажу соседской тете коровку? - спросил мальчик.
“爸，菱抱羊一块吃饭饭！” “好。”	Ему очень хотелось похвастаться своими сокровищами.
老李还有一句，“给老山羊点饭饭吃。”	Мать воспользовалась случаем и сказала:
可是打不起精神说。	А ты спроси у папы.
大家一块吃饭，吃得很痛快。	Лао Ли почувствовал неловкость.
	Почему надо спрашивать у папы?
	Разве дети не принадлежат им обоим?
	Видно, женщины, подобные ей, считают мужа хозяином.
	Он еще не был уверен в этом, но чувствовал, что между ним и женой стена.
"
"	Ладно, пусть голова немного отдохнет.
	И он сказал сыну:
	Сначала поедим, потом пойдешь к тете.
	Па, а можно обедать с козлом?
	Можно, только ты и ему дай поесть.
	За столом было весело.
菱把汤洒了羊一身，羊没哭，妈也没打菱。	Лин обмакнула козла в суп, козел не заплакал, а мама ее не побила.
饭后，妈收拾家伙，英菱与牛羊和爸玩了半天。	Потом мать убирала посуду, а дети играли с отцом.
老李细看了看儿女，越看越觉得他与他们有最密切的关系。	Чем больше Лао Ли смотрел на детей, тем отчетливее понимал, как тесно связывают его с ними незримые нити.
英的嘴，鼻子，和老李的一样，特别是那对大而迟钝的眼睛。	Ин был весь в отца, такой же рот, такие же глаза, большие, наивные.
老李心里说，“大概我小时候也这么黑！菱的胳臂短腿短，将来也许像她妈妈那样短粗。”	«Наверно, я в детстве тоже был смуглым, - подумал Лао Ли. - А у Лин короткие руки и ноги.
儿女的将来，渺茫！	Со временем она, пожалуй, станет похожей на мать.
英再像我，菱再像她？	Как сложится у них жизнь?
不，一定不能！	Неизвестно.
	Скорее всего, Ин станет таким, как он, а Лин - как мать.
但是管它呢，“菱，来，叫爸亲亲！”	Нет, так не должно быть!»
亲完了小肉葫芦，他向厨房那边说，“我说——菱没有件体面的棉袍子呀？”	Лин, подойди к папе, я тебя поцелую. - Потом он крикнул: - А что, у Лин нет приличного халатика?
“那不就挺好看的吗？ 太太在厨房里嚷，好像愿叫街上的人也都听见。	Разве этот не хорош? - отозвалась из кухни жена так громко, будто хотела, чтобы ее услышали на улице. - У нее есть еще один, фиолетовый, но я берегу его для праздника.
“她还有件紫的呢，留着出门穿。”	«Нашла что беречь!
“留着你那件臭紫袍吧！”老李心里说。	Какой-то паршивый халат! - в сердцах подумал Лао Ли. - Девчонке нужно сделать новый халат!
有给菱作件新袍的必要；打扮上，一定是个可爱的小女孩。	Если ее хорошо одеть, она будет премиленькой.
希望母亲也来看看菱的新衣裳，虽然新衣裳还八字没有一撇。	Думаю, что и мать полюбуется ею. Но халата пока нет, что же напрасно говорить!»
	"
"
“晚上见，菱。”	До вечера, Лин.
“爸买发生去？”菱以为爸一出去就得买落花生。	Па, купи олехов! - Девочка считала, что всякий раз папа будет приносить орехи.
“爸，再带头牛来，好凑一对！”英以为爸一出门必是买牛去。	Па, а мне еще одну корову, чтобы две. было, - попросил мальчик, полагая, что всякий раз папа будет приносить коров.
老李在屋门口停了一停，她没出来。	На пороге Лао Ли остановился, жена не вышла его проводить.
东屋的门开着点缝，老李看见一个人影，没看清楚，只觉得一件红衣那么一闪。	Дверь в соседнюю комнату была приоткрыта - там стояла какая-то женщина, Лао Ли не разглядел ее, только заметил красное платье.
