# exported_by=ParallelTexts
# source_title=06
# target_title=06-ru
# src_lang=zh
# tgt_lang=ru
# total_pairs=374
source_text	target_text	confidence
平日老李的坐车与否是一出街门就决定好的：决定不坐便设法躲着洋车走；拒绝车夫是难堪的事。	Лао Ли всегда решал заранее, нанять рикшу или идти пешком, потому что отказывать рикшам – дело неприятное.	0.6410
决定坐车，他永远给大价钱。	Если же он пользовался их услугами, то неизменно переплачивал.	0.4420
张大哥和老李一块儿走的时候，张大哥永不张罗坐车。	Лучше всего ходить с Чжан Дагэ – ему чужды всякие предрассудки.	0.1252
英和妈妈坐一辆，菱跟着爸。	Лин с матерью сели в одну коляску, Ин с отцом в другую.	0.7539
一路上英的问题多了，西安门，北海，故宫……全安着个极大的问号。		
老李怕太太回头问他。	Ин без конца задавал отцу вопросы: про Сианьские ворота, про Северное море, про Древний дворец [33]… Лао Ли боялся, как бы жена не последовала его примеру!	0.6700
她并没言语，而英的问题全被拉车的给回答了。	Но она молчала, а мальчику отвечал рикша.	0.5193
老李又怕她也和车夫一答一和的说起来，她也没有。	И еще Лао Ли боялся, что жена начнет спрашивать рикшу.	0.6522
他心里说：“傻瓜，当是妇女真没心眼呢！	Но этого тоже не случилось.	0.2236
妇女是社会习俗的保存者。”		
想到这里，他不得劲的一笑，“老李，你还是张大哥第二，未能免俗！”	«Глупец,– думал Лао Ли,– ведь женщин ничего не интересует, а между тем считается, что они стоят на страже общественных устоев».– При этой мысли Лао Ли горько усмехнулся.– «А ты, Лао Ли, такой же обыватель, как и Чжан Дагэ…»	0.5503
一进市场门，菱和英一致要苹果。	Не успели прийти на рынок, как дети в один голос потребовали яблок.	0.6256
老李为了难；买多了吧不好拿，只买两个又怕叫卖果子的看不起。	Что делать?	0.2073
不买，孩子们不答应。	Купить много – таскайся потом с ними, купить два – неловко перед торговцем; вовсе не купить – стыдно перед детьми.	0.4906
“上那边买去，菱，”太太到底有主意。	–Потом купим!– нашлась мать.	0.6478
	Лао Ли снова нахмурился.	
	Лотков с фруктами много.	
老李的眉头好似有皱上的瘾：那边果摊子还多着呢，买就是买，不买就是不买，干吗欺哄孩子呢！	Хочешь – покупай, не хочешь – не покупай, но к чему обманывать детей?	0.6238
丈夫布尔乔亚，太太随便骗孩子，有劲！	Муж – сноб, а жена врет детям.	0.6535
	Но тут все решилось само собой.	
可是问题解决了问题，菱看着玩艺摊子，好象就是再买苹果也不要了。	Лин увидела лоток с игрушками и забыла о яблоках.	0.7157
“那边还有好的呢，”又是一个谎！	–Дальше игрушки еще лучше,– снова соврала жена.	0.4104
说谎居然也能解决问题，越往里走，东西越多，英们似乎已看花了眼，想不起要什么好了。	Детей нетрудно уговорить – здесь столько всего, что глаза разбегаются.	0.3970
老李偷眼看着太太，心中老有点“刘姥姥入大观园”的恐怖。	Лао Ли украдкой посмотрел на жену, и она напомнила ему «старуху Лю, вошедшую в сад Роскошных зрелищ» [34].	0.7051
太太的两眼好象是分别工作着，一眼紧盯着孩子，一眼收取各样东西与色彩。	Каждый глаз у нее занимался своим делом: один присматривал за детьми, другой успевал все заметить, всех разглядеть.	0.7888
到必要的时候，两眼全照管着孩子，牺牲了那些引诱妇女灵魂的物件。	Но в минуту необходимости оба глаза переключались на детей, жертвуя всем, что так соблазняет женщин.	0.9102
老李受了感动。	Лао Ли был растроган.	0.5926
	Тут же прогуливались модные женщины с не менее модными мужчинами.	
摩登男女们，男的给女的拿着东西与皮包，脸上冬夏常青的笑着，连脚踵都轻而带弹力，好象也在发笑。	Мужчины несли сумочки и свертки, их лица как бы застыли в улыбке, даже походка у них была легкой, пружинящей, как бы смеющейся.	0.7821
女子的眼毛刚一看果子，男的脚趾便笑着奔了果摊去，只检包着细皱纸，印洋字蓝戳的挑，不问价钱。	Стоило женским ресницам метнуться в сторону фруктов, как смеющиеся ноги мужчин сами устремлялись к лотку.	0.6300
	Фрукты покупали самые лучшие, завернутые в тонкую бумагу с иностранным клеймом, и, уж конечно, не торговались.	
老李不敢再看自己的太太，没有围巾，没有小手袋，没有卜——开了，卜——拉上的活扣棉鞋；只是一件棉袍，没沿边，而且太肥。	Лао Ли не смел взглянуть на жену.	0.6289
有点对不起太太！	У нее не было ни шарфика, ни сумочки, ни приличных туфель, один лишь халат, и то без каймы и очень широкий.	0.1708
决定给她买这些宝贝。	Да, он, конечно, виноват перед ней, надо купить все эти вещи.	0.6511
自己不布尔乔亚是一件事，太太须布尔乔亚是另一件事；买！	Ему не обязательно иметь замашки буржуа, а вот жена – другое дело.	0.5531
也得给孩子买鞋，小绒线帽。“	Детишкам тоже нужны туфельки и шапочки.	0.8907
你自己去挑！”		
他发了命令，心中是一团美意，可是说得十二分难听。	–Пойди выбери,– скорее приказал, нежели сказал он жене, и на душе стало радостно.	0.6130
进了一家百货店。	Они вошли в магазин.	0.8135
	Госпожа Ли стала выбирать шарфик.	
	Красный – слишком ярок, зеленый – старит, желтый, разумеется, не подходит.	
	Голубой хорош, но коротковат.	
	Чтобы хоть как-то сгладить неловкость, Лао Ли сказал дочери:	
太太先挑围巾，红的太艳，绿的太老，黄的当然不行，蓝的不错，可惜太短……老李直向菱说，“等着，等妈妈挑好了，咱们试皮鞋。”	–Сейчас мама выберет шарфик, а потом купим тебе туфельки.	0.7166
这大概足以使全铺子的人都减少些厌恶的心；老李要是当伙计的，早把太太给推出去了！	Будь Лао Ли торговцем, он давно бы вытолкал жену из магазина!	0.6893
几乎所有的围巾全拿出来了，太太这才问，“你说，要哪条好？”	Перебрав все шарфы, госпожа Ли обратилась к мужу:	0.5767
	–Ну, посоветуй, какой купить?	
连这点主意都没有，妇女！	Господи, даже в этом она ничего не смыслит, а еще женщина.	0.7240
连什么颜色好看都看不出！	Цвет никак не подберёт.	0.8640
老李过来挑了条蓝的。“	Лао Ли выбрал голубой.	0.6698
蓝的很时行，先生。”		
伙计好象从一生下来就没哭过，而且岁数越大越爱笑。	–Голубой цвет самый модный, господин,– сказал торговец с таким видом, будто никогда в жизни не плакал, а только смеялся.	0.5337
老李放下蓝的，又拿起条紫的来。“	Лао Ли поморщился, отложил голубой шарф и взял лиловый.	0.6106
玫瑰紫，太太戴正合适。”	–Госпоже лучше всего подойдет лиловый,– произнес торговец, заулыбавшись еще усерднее.	0.4368
伙计的脸加紧发笑。	Лао Ли бросило в жар.	0.2260
老李的脸有点发热，又把蓝的拿起来。“	Он снова взял голубой.	0.5784
还是这条好，先生，颜色正道，绒头也长。”	–Да, пожалуй, этот лучше, он и пушистее, и цвет красивый.	0.7659
伙计脸上的笑意要跳起来吻谁一下才好。“	Торговец, казалось, готов был выскочить из-за прилавка и всех расцеловать.	0.5731
还是你自己挑吧，”老李辞职了。	–Выбирай сама.– Лао Ли сложил с себя полномочия, и сияющее лицо торговца повернулось к госпоже.	0.5348
伙计的笑脸转向太太去。	А она выбрала самый некрасивый, серо-голубой.	0.2601
太太挑了条最不得人的灰蓝色的，一遇上阳光管保只剩下灰，一点也不蓝。	На солнце он потеряет голубизну и станет совсем серым.	0.4663
不过，到底是买成了一件，再看别的吧。	Но наконец-то купили хоть одну вещь.	0.6852
	Теперь надо идти за другими покупками.	
“先生请坐，您吸烟！”	–Господин, присядьте, покурите!	0.9382
伙计们张罗。	Торговец был очень любезен.	0.1957
老李既不吸烟，又不肯坐下；恐怕自己一坐下，叫太太想可以在这儿住一两天也不碍事。	Но Лао Ли не стал ни курить, ни садиться.	0.6191
	Присядь тут, так потом жену не вытащишь из лавки.	
李太太要小孩的饭巾，要男人的卫生衣……所要的全是老李没想到的。	Госпоже Ли понадобились фартучки для детей, белье для него… Все это не входило в планы Лао Ли.	0.7963
可是，饭巾确是比皮鞋还要紧，自己还没有冬季卫生衣。	Но фартучки в самом деле нужнее, чем туфли, да и у него нет к зиме теплого белья.	0.8718
妇女到底是妇女，她们有保卫生命的本能。	Что ни говори, а у женщин талант заботиться о ближних.	0.6982
然后又买花线，洋针，小剪子，这更出乎老李意料之外。	Купили нитки, иголки, ножницы,– это тем более не входило в планы Лао Ли.	0.5978
家门口就有卖针线的，何必上市场来买？	Такую мелочь можно купить рядом с домом, стоило ли приходить за этим сюда?	0.6187
可是太太手中一个钱没有，还不能在门口买任何零碎。	Но у жены никогда не бывает денег, и она вообще ничего не может купить.	0.7473
	Это его вина.	
他的错儿，应当给太太点钱，她不是仆人，她有她必需的用品。	Надо давать ей деньги – она не прислуга, и у нее могут быть свои потребности.	0.6798
买了一大包东西，算了算才十五元二角七分，开来账条，上面还贴好印花！	Они накупили целый ворох вещей, им выписали чек, но как все это нести?	0.7675
怎么拿着呢？	И продавец предложил:	0.3988
伙计出了主意，“先放在这里，逛完再来拿。”	–Оставьте покупки здесь, погуляйте, а на обратном пути зайдете.	0.6548
和气，有主意，会拉主顾，一共才十五块多钱！	Он был само внимание, сама любезность, и все – за пятнадцать с небольшим юаней.	0.3949
老李觉得生命是该在这些小节目上消磨的，这才有人情，有意思。	Лао Ли почувствовал, что отныне жизнь его потечет по новому руслу.	0.5687
	Что же, в этом есть свой смысл и интерес!	
那些给女的提皮包买果子的人们，不定心中怎样快活呢！	Вряд ли всем этим модникам, которые носят сумочки своих дам и покупают для них фрукты, знакомо то чувство радости, которое испытывал сейчас Лао Ли.	0.6182
绕到丹桂商场，老李把自己种在书摊子前面。	Они подошли к магазину «Красная корица».	0.4938
李太太前呼后拥的脚有点不吃力了。		
看了几次丈夫，他确是种在了那里。	Жена сильно устала и то и дело поглядывала на мужа, который словно прирос к лотку с книгами.	0.4387
英忽然不见了！	Куда-то задевался Ин!	0.7237
	Она огляделась вокруг.	
隔着书摊一望，他在西边，脸贴着玻璃窗看小泥人呢。	Мальчик прилип носом к витрине и рассматривал выставленных там кукол.	0.4449
“英可上那边去了，”太太的脚确是不行了。	–Ин, зачем ты туда пошел?– Мать едва ковыляла.	0.5671
“英，”老李极不满意的放下书，抓着空向小伙计笑了笑。	–Ин,– позвал Лао Ли и, улыбнувшись продавцу, с сожалением положил книгу.	0.6121
	* * *	
	Домой возвратились к вечеру, когда уже зажигали огни.	
回到家中，已经快掌灯，菱在新围巾里睡着。	Лин уснула, положив голову на новый шарфик.	0.6983
	Ин же был очень оживлен и, войдя во двор, крикнул:	
英的精神十足，一进院里就喊：“大婶，看我的新帽子！”	–Тетя, посмотрите, какая у меня шапочка!	0.7227
东屋大婶没出来，在屋中说，“真好！”	Не выходя из комнаты, женщина проговорила:	0.7476
“北平怎样？”	–Очень красивая!	0.3666
老李问太太。	–Как тебе понравился Пекин?– спросил Лао Ли у жены.	0.5740
	–Ничего особенного.	
“没什么，除了大街就是大街——还就是市场好，东西多么齐全哪！”	Улицы как улицы, вот рынок хороший.	0.5712
	Сколько там всего!	
老李决定不请太太逛天坛和孔庙什么的了。	После этого Лао Ли решил не показывать жене никаких достопримечательностей: ни храма Неба, ни храма Конфуция.	0.7844
